 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798    50.798  
 1.0    14.0    204.0    223.0    206.0    222.0    -1.0    1.0    1.0    52.844    52.844    53.322    53.803    56.824    56.824    57.975  
 2.0    14.0    204.0    223.0    206.0    222.0    1.0    -1.0    1.0    52.844    52.844    58.692    59.173    62.194    62.194    63.345  
 1.0    14.0    129.0    135.0    137.0    141.0    -1.0    -1.0    0.0    68.103    68.103    68.332    68.816    71.834    71.834    72.768  
 2.0    14.0    129.0    135.0    137.0    141.0    -1.0    -1.0    0.0    68.103    68.103    74.169    74.501    77.672    77.672    78.84  
 1.0    14.0    288.0    292.0    289.0    302.0    1.0    1.0    0.0    83.344    83.344    83.576    83.908    87.079    87.079    88.246  
 2.0    14.0    288.0    292.0    289.0    302.0    1.0    1.0    0.0    83.344    83.344    89.881    90.213    93.384    93.384    94.649  
 1.0    14.0    313.0    340.0    307.0    345.0    -1.0    -1.0    0.0    99.158    99.158    99.388    99.719    102.89    102.89    103.889  
 2.0    14.0    313.0    340.0    307.0    345.0    1.0    0.0    999.0    99.158    99.158    106.393    106.724    109.896    109.896    0.0  
 1.0    14.0    199.0    234.0    208.0    229.0    -1.0    -1.0    0.0    115.198    115.198    115.45    115.931    118.935    118.935    120.337  
 2.0    14.0    199.0    234.0    208.0    229.0    1.0    -1.0    1.0    115.198    115.198    121.504    121.836    125.007    125.007    125.538  
 1.0    14.0    334.0    280.0    344.0    289.0    1.0    1.0    0.0    130.494    130.494    130.744    131.226    134.247    134.247    135.245  
 2.0    14.0    334.0    280.0    344.0    289.0    1.0    1.0    0.0    130.494    130.494    136.565    136.897    140.068    140.068    141.235  
 1.0    14.0    349.0    325.0    348.0    331.0    -1.0    1.0    1.0    146.178    146.178    146.639    146.97    150.141    150.141    152.009  
 2.0    14.0    349.0    325.0    348.0    331.0    1.0    1.0    0.0    146.178    146.178    152.943    153.41    156.446    156.446    157.614  
 1.0    14.0    280.0    282.0    283.0    277.0    1.0    1.0    0.0    162.166    162.166    162.4    162.732    165.903    165.903    166.918  
 2.0    14.0    280.0    282.0    283.0    277.0    -1.0    1.0    1.0    162.166    162.166    168.471    168.939    171.974    171.974    173.842  
 1.0    14.0    123.0    149.0    127.0    152.0    -1.0    -1.0    0.0    177.48    177.48    177.945    178.412    181.447    181.447    182.913  
 2.0    14.0    123.0    149.0    127.0    152.0    -1.0    0.0    999.0    177.48    177.48    183.082    183.566    186.584    186.584    0.0  
 1.0    14.0    140.0    138.0    134.0    148.0    1.0    -1.0    1.0    192.783    192.783    193.006    193.337    196.508    196.508    198.16  
 2.0    14.0    140.0    138.0    134.0    148.0    -1.0    -1.0    0.0    192.783    192.783    199.158    199.642    202.661    202.661    204.245  
 1.0    14.0    71.0    30.0    73.0    33.0    1.0    -1.0    1.0    208.676    208.676    209.134    209.466    212.637    212.637    213.571  
 2.0    14.0    71.0    30.0    73.0    33.0    1.0    1.0    0.0    208.676    208.676    215.737    216.221    219.24    219.24    220.109  
 1.0    14.0    250.0    241.0    244.0    240.0    1.0    1.0    0.0    224.142    224.142    224.626    225.11    228.129    228.129    229.032  
 2.0    14.0    250.0    241.0    244.0    240.0    1.0    1.0    0.0    224.142    224.142    231.198    231.681    234.701    234.701    235.57  
 1.0    14.0    159.0    159.0    161.0    166.0    -1.0    1.0    1.0    239.233    239.233    239.456    239.923    242.959    242.959    243.974  
 2.0    14.0    159.0    159.0    161.0    166.0    -1.0    0.0    999.0    239.233    239.233    244.593    244.925    248.096    248.096    0.0  
 1.0    14.0    289.0    329.0    282.0    324.0    -1.0    -1.0    0.0    254.916    254.916    255.151    255.619    258.653    258.653    259.588  
 2.0    14.0    289.0    329.0    282.0    324.0    -1.0    -1.0    0.0    254.916    254.916    261.472    261.953    264.978    264.978    265.892  
 1.0    14.0    329.0    345.0    320.0    342.0    -1.0    -1.0    0.0    270.752    270.752    271.045    271.528    274.547    274.547    275.515  
 2.0    14.0    329.0    345.0    320.0    342.0    -1.0    0.0    999.0    270.752    270.752    277.284    277.751    280.788    280.788    0.0  
 1.0    14.0    120.0    155.0    111.0    146.0    1.0    1.0    0.0    286.079    286.079    286.308    286.64    289.81    289.81    291.678  
 2.0    14.0    120.0    155.0    111.0    146.0    1.0    1.0    0.0    286.079    286.079    292.243    292.71    295.746    295.746    296.896  
 1.0    14.0    300.0    322.0    296.0    320.0    -1.0    1.0    1.0    301.437    301.437    301.906    302.24    305.408    305.408    306.703  
