 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573    44.573  
 1.0    16.0    12.0    64.0    13.0    74.0    1.0    -1.0    1.0    46.588    46.588    56.895    57.395    60.397    60.4    61.976  
 2.0    16.0    12.0    64.0    13.0    74.0    1.0    1.0    0.0    46.588    46.588    66.923    67.422    70.424    70.428    72.495  
 1.0    16.0    282.0    299.0    284.0    300.0    1.0    -1.0    1.0    78.949    78.949    89.255    89.755    92.757    92.761    94.317  
 2.0    16.0    282.0    299.0    284.0    300.0    1.0    1.0    0.0    78.949    78.949    99.286    99.786    102.788    102.792    103.918  
 1.0    16.0    192.0    202.0    201.0    203.0    -1.0    -1.0    0.0    111.314    111.314    121.614    122.114    125.116    125.12    127.01  
 2.0    16.0    192.0    202.0    201.0    203.0    -1.0    -1.0    0.0    111.314    111.314    131.647    132.148    135.15    135.154    137.061  
 1.0    16.0    25.0    44.0    21.0    38.0    -1.0    -1.0    0.0    143.677    143.677    153.974    154.474    157.476    157.48    159.135  
 2.0    16.0    25.0    44.0    21.0    38.0    -1.0    -1.0    0.0    143.677    143.677    164.005    164.506    167.508    167.512    168.603  
 1.0    16.0    151.0    168.0    153.0    158.0    -1.0    1.0    1.0    176.035    176.035    186.333    186.833    189.835    189.839    192.197  
 2.0    16.0    151.0    168.0    153.0    158.0    1.0    1.0    0.0    176.035    176.035    196.365    196.865    199.866    199.871    200.779  
 1.0    16.0    53.0    29.0    46.0    39.0    -1.0    -1.0    0.0    208.392    208.392    218.692    219.193    222.194    222.198    224.572  
 2.0    16.0    53.0    29.0    46.0    39.0    1.0    1.0    0.0    208.392    208.392    228.722    229.222    232.224    232.228    233.205  
 1.0    16.0    122.0    135.0    123.0    142.0    -1.0    1.0    1.0    240.752    240.752    251.052    251.551    254.553    254.557    256.181  
 2.0    16.0    122.0    135.0    123.0    142.0    -1.0    -1.0    0.0    240.752    240.752    261.082    261.581    264.583    264.587    266.116  
 1.0    16.0    205.0    242.0    198.0    234.0    1.0    1.0    0.0    273.111    273.111    283.411    283.911    286.915    286.919    288.457  
 2.0    16.0    205.0    242.0    198.0    234.0    1.0    1.0    0.0    273.111    273.111    293.443    293.943    296.945    296.949    298.842  
 1.0    16.0    225.0    216.0    221.0    225.0    1.0    -1.0    1.0    305.473    305.473    315.771    316.271    319.273    319.277    321.818  
 2.0    16.0    225.0    216.0    221.0    225.0    -1.0    -1.0    0.0    305.473    305.473    325.802    326.302    329.304    329.308    331.035  
