 r    deg    same-diff  
 16    117    0  
 16    159    0  
 16    261    1  
 16    0    0  
 16    111    0  
 16    3    0  
 16    213    1  
 16    324    1  
 16    150    0  
 16    234    1  
 16    222    1  
 16    168    0  
 16    348    0  
 16    153    0  
 16    195    0  
 16    27    1  
 16    15    0  
 16    162    1  
 16    75    1  
 16    96    1  
 16    93    0  
 16    225    0  
 16    288    1  
 16    114    0  
 16    120    0  
 16    105    1  
 16    81    0  
 16    99    0  
 16    90    1  
 16    285    0  
