 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    12.0    1.0    2.0    0.0    28.0    43.0    1.0    303.0    323.8    4.0    143.0    2.0    239.0    3.0    28.0    1.0    303.0    143.0    43.0    1.0    323.8    239.0    15.0  
 3.0    7.0    5.0    0.0    1.0    1.0    303.0    314.4    4.0    33.0    60.6    1.0    153.0    2.0    221.0    3.0    153.0    2.0    303.0    33.0    221.0    3.0    314.4    60.6    68.0  
 3.0    7.0    12.0    0.0    2.0    1.0    302.0    291.2    4.0    239.0    214.5    3.0    131.0    2.0    46.0    1.0    131.0    2.0    302.0    239.0    46.0    1.0    291.2    214.5    85.0  
 3.0    7.0    5.0    0.0    1.0    1.0    314.0    296.1    4.0    229.0    202.0    3.0    49.0    1.0    119.0    2.0    49.0    1.0    314.0    229.0    119.0    2.0    296.1    202.0    70.0  
 3.0    7.0    12.0    0.0    2.0    0.0    59.0    46.7    1.0    316.0    292.2    4.0    229.0    3.0    134.0    2.0    229.0    3.0    59.0    316.0    134.0    2.0    46.7    292.2    95.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    241.0    225.9    3.0    69.0    42.1    1.0    314.0    4.0    117.0    2.0    241.0    3.0    69.0    314.0    225.9    3.0    42.1    117.0    15.1  
 1.0    7.0    12.0    -1.0    2.0    1.0    125.0    110.5    2.0    331.0    304.6    4.0    35.0    1.0    233.0    3.0    125.0    2.0    331.0    35.0    110.5    2.0    304.6    233.0    14.5  
 1.0    7.0    12.0    1.0    2.0    1.0    51.0    65.0    1.0    203.0    230.2    3.0    153.0    2.0    339.0    4.0    51.0    1.0    203.0    153.0    65.0    1.0    230.2    339.0    14.0  
 3.0    7.0    5.0    0.0    1.0    1.0    136.0    148.1    2.0    317.0    339.2    4.0    59.0    1.0    213.0    3.0    59.0    1.0    136.0    317.0    213.0    3.0    148.1    339.2    154.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    314.0    295.4    4.0    155.0    134.0    2.0    241.0    3.0    60.0    1.0    314.0    4.0    155.0    241.0    295.4    4.0    134.0    60.0    18.6  
 1.0    7.0    12.0    -1.0    2.0    1.0    68.0    49.1    1.0    319.0    296.6    4.0    113.0    2.0    243.0    3.0    68.0    1.0    319.0    113.0    49.1    1.0    296.6    243.0    18.9  
 3.0    7.0    12.0    0.0    2.0    1.0    227.0    246.6    3.0    130.0    157.3    2.0    324.0    4.0    49.0    1.0    324.0    4.0    227.0    130.0    49.0    1.0    246.6    157.3    85.0  
 3.0    7.0    12.0    0.0    2.0    0.0    137.0    120.4    2.0    313.0    290.3    4.0    246.0    3.0    26.0    1.0    246.0    3.0    137.0    313.0    26.0    1.0    120.4    290.3    140.0  
 1.0    7.0    5.0    1.0    1.0    0.0    52.0    68.7    1.0    308.0    335.5    4.0    143.0    2.0    206.0    3.0    52.0    1.0    308.0    143.0    68.7    1.0    335.5    206.0    16.7  
 3.0    7.0    12.0    0.0    2.0    1.0    229.0    210.7    3.0    69.0    48.2    1.0    127.0    2.0    330.0    4.0    127.0    2.0    229.0    69.0    330.0    4.0    210.7    48.2    157.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    41.0    27.9    1.0    240.0    211.8    3.0    309.0    4.0    127.0    2.0    41.0    1.0    240.0    309.0    27.9    1.0    211.8    127.0    13.1  
 1.0    7.0    12.0    1.0    2.0    0.0    303.0    318.4    4.0    24.0    49.7    1.0    135.0    2.0    233.0    3.0    303.0    4.0    24.0    135.0    318.4    4.0    49.7    233.0    15.4  
 3.0    7.0    5.0    0.0    1.0    1.0    39.0    24.8    1.0    152.0    126.3    2.0    339.0    4.0    227.0    3.0    339.0    4.0    39.0    152.0    227.0    3.0    24.8    126.3    112.0  
 1.0    7.0    12.0    1.0    2.0    1.0    129.0    140.7    2.0    21.0    49.2    1.0    299.0    4.0    203.0    3.0    129.0    2.0    21.0    299.0    140.7    2.0    49.2    203.0    11.7  
 1.0    7.0    5.0    -1.0    1.0    1.0    238.0    222.9    3.0    60.0    36.5    1.0    129.0    2.0    322.0    4.0    238.0    3.0    60.0    129.0    222.9    3.0    36.5    322.0    15.1  
 1.0    7.0    5.0    -1.0    1.0    0.0    228.0    217.9    3.0    50.0    29.8    1.0    322.0    4.0    111.0    2.0    228.0    3.0    50.0    322.0    217.9    3.0    29.8    111.0    10.1  
 3.0    7.0    12.0    0.0    2.0    1.0    56.0    67.6    1.0    207.0    228.1    3.0    117.0    2.0    299.0    4.0    117.0    2.0    56.0    207.0    299.0    4.0    67.6    228.1    178.0  
 3.0    7.0    5.0    0.0    1.0    0.0    32.0    51.9    1.0    217.0    245.6    3.0    306.0    4.0    150.0    2.0    306.0    4.0    32.0    217.0    150.0    2.0    51.9    245.6    156.0  
 3.0    7.0    5.0    0.0    1.0    0.0    318.0    333.4    4.0    125.0    146.5    2.0    207.0    3.0    30.0    1.0    207.0    3.0    318.0    125.0    30.0    1.0    333.4    146.5    177.0  
 1.0    7.0    12.0    1.0    2.0    1.0    321.0    337.6    4.0    219.0    247.8    3.0    141.0    2.0    63.0    1.0    321.0    4.0    219.0    141.0    337.6    4.0    247.8    63.0    16.6  
 1.0    7.0    5.0    1.0    1.0    1.0    293.0    308.1    4.0    28.0    52.2    1.0    125.0    2.0    207.0    3.0    293.0    4.0    28.0    125.0    308.1    4.0    52.2    207.0    15.1  
 3.0    7.0    12.0    0.0    2.0    1.0    38.0    53.9    1.0    200.0    226.3    3.0    296.0    4.0    153.0    2.0    296.0    4.0    38.0    200.0    153.0    2.0    53.9    226.3    143.0  
 3.0    7.0    5.0    0.0    1.0    0.0    228.0    211.9    3.0    51.0    30.6    1.0    301.0    4.0    142.0    2.0    301.0    4.0    228.0    51.0    142.0    2.0    211.9    30.6    159.0  
