 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    12.0    1.0    2.0    0.0    203.0    218.8    3.0    131.0    152.9    2.0    301.0    4.0    27.0    1.0    203.0    3.0    131.0    301.0    218.8    3.0    152.9    27.0    15.8  
 3.0    7.0    12.0    0.0    2.0    0.0    62.0    50.1    1.0    148.0    121.3    2.0    332.0    4.0    207.0    3.0    332.0    4.0    62.0    148.0    207.0    3.0    50.1    121.3    125.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    335.0    319.8    4.0    149.0    123.9    2.0    24.0    1.0    243.0    3.0    335.0    4.0    149.0    24.0    319.8    4.0    123.9    243.0    15.2  
 1.0    7.0    12.0    -1.0    2.0    1.0    307.0    291.4    4.0    49.0    24.2    1.0    221.0    3.0    127.0    2.0    307.0    4.0    49.0    221.0    291.4    4.0    24.2    127.0    15.6  
 1.0    7.0    5.0    -1.0    1.0    0.0    246.0    233.0    3.0    66.0    42.3    1.0    143.0    2.0    290.0    4.0    246.0    3.0    66.0    143.0    233.0    3.0    42.3    290.0    13.0  
 1.0    7.0    5.0    1.0    1.0    1.0    232.0    244.1    3.0    301.0    330.4    4.0    40.0    1.0    148.0    2.0    232.0    3.0    301.0    40.0    244.1    3.0    330.4    148.0    12.1  
 1.0    7.0    12.0    -1.0    2.0    0.0    44.0    33.9    1.0    334.0    310.6    4.0    151.0    2.0    238.0    3.0    44.0    1.0    334.0    151.0    33.9    1.0    310.6    238.0    10.1  
 3.0    7.0    5.0    0.0    1.0    1.0    202.0    212.6    3.0    28.0    50.6    1.0    324.0    4.0    114.0    2.0    324.0    4.0    202.0    28.0    114.0    2.0    212.6    50.6    150.0  
 3.0    7.0    5.0    0.0    1.0    1.0    56.0    38.2    1.0    236.0    213.5    3.0    328.0    4.0    154.0    2.0    328.0    4.0    56.0    236.0    154.0    2.0    38.2    213.5    174.0  
 3.0    7.0    5.0    0.0    1.0    1.0    220.0    200.1    3.0    327.0    297.4    4.0    134.0    2.0    28.0    1.0    134.0    2.0    220.0    327.0    28.0    1.0    200.1    297.4    106.0  
