 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    12.0    203.0    131.0    301.0    218.8    152.9    27.0    15.8    3.0    2.0    1.0    0.0    216.0    -13.0    13.0    13.0    203.0    218.8    3.0    131.0    152.9    2.0    301.0    4.0    27.0    1.0    53.601    62.045    54.685    74.401    5.027    79.428    21.298  
 3.0    7.0    12.0    332.0    62.0    148.0    207.0    50.1    121.3    125.0    4.0    2.0    0.0    0.0    340.0    -8.0    8.0    -8.0    62.0    50.1    1.0    148.0    121.3    2.0    332.0    4.0    207.0    3.0    80.065    88.437    81.078    100.794    5.016    105.81    21.226  
 1.0    7.0    12.0    335.0    149.0    24.0    319.8    123.9    243.0    15.2    4.0    2.0    -1.0    0.0    339.0    -4.0    4.0    -4.0    335.0    319.8    4.0    149.0    123.9    2.0    24.0    1.0    243.0    3.0    106.447    114.82    107.462    127.174    5.018    132.192    21.225  
 1.0    7.0    12.0    307.0    49.0    221.0    291.4    24.2    127.0    15.6    4.0    2.0    -1.0    1.0    301.0    6.0    6.0    6.0    307.0    291.4    4.0    49.0    24.2    1.0    221.0    3.0    127.0    2.0    132.828    141.204    133.847    153.56    5.03    158.59    21.229  
 1.0    7.0    5.0    246.0    66.0    143.0    233.0    42.3    290.0    13.0    3.0    1.0    -1.0    0.0    238.0    8.0    8.0    8.0    246.0    233.0    3.0    66.0    42.3    1.0    143.0    2.0    290.0    4.0    159.227    160.242    167.6    172.955    5.021    177.976    14.226  
 1.0    7.0    5.0    232.0    301.0    40.0    244.1    330.4    148.0    12.1    3.0    1.0    1.0    1.0    248.0    -16.0    16.0    16.0    232.0    244.1    3.0    301.0    330.4    4.0    40.0    1.0    148.0    2.0    178.612    179.625    186.983    192.339    5.023    197.362    14.224  
 1.0    7.0    12.0    44.0    334.0    151.0    33.9    310.6    238.0    10.1    1.0    2.0    -1.0    0.0    23.0    21.0    21.0    -21.0    44.0    33.9    1.0    334.0    310.6    4.0    151.0    2.0    238.0    3.0    197.998    206.37    199.012    218.726    5.017    223.744    21.226  
 3.0    7.0    5.0    324.0    202.0    28.0    114.0    212.6    50.6    150.0    4.0    1.0    0.0    1.0    305.0    19.0    19.0    -19.0    202.0    212.6    3.0    28.0    50.6    1.0    324.0    4.0    114.0    2.0    224.381    225.401    232.76    238.113    5.016    243.129    14.231  
 3.0    7.0    5.0    328.0    56.0    236.0    154.0    38.2    213.5    174.0    4.0    1.0    0.0    1.0    298.0    30.0    30.0    30.0    56.0    38.2    1.0    236.0    213.5    3.0    328.0    4.0    154.0    2.0    243.767    244.781    252.137    257.493    5.022    262.515    14.225  
 3.0    7.0    5.0    134.0    220.0    327.0    28.0    200.1    297.4    106.0    2.0    1.0    0.0    1.0    140.0    -6.0    6.0    -6.0    220.0    200.1    3.0    327.0    297.4    4.0    134.0    2.0    28.0    1.0    263.151    264.165    271.523    276.879    5.021    281.9    14.226  
 3.0    7.0    5.0    152.0    292.0    26.0    236.0    305.0    46.9    84.0    2.0    1.0    0.0    0.0    150.0    2.0    2.0    -2.0    292.0    305.0    4.0    26.0    46.9    1.0    152.0    2.0    236.0    3.0    282.537    283.552    290.91    296.265    5.02    301.286    14.226  
 1.0    7.0    12.0    235.0    134.0    60.0    248.3    155.0    326.0    13.3    3.0    2.0    1.0    1.0    243.0    -8.0    8.0    8.0    235.0    248.3    3.0    134.0    155.0    2.0    60.0    1.0    326.0    4.0    301.923    310.296    302.937    322.651    5.016    327.668    21.226  
 3.0    7.0    12.0    63.0    216.0    123.0    337.0    233.6    150.7    86.0    1.0    2.0    0.0    1.0    68.0    -5.0    5.0    -5.0    216.0    233.6    3.0    123.0    150.7    2.0    63.0    1.0    337.0    4.0    328.304    336.679    329.32    349.034    5.016    354.05    21.227  
 1.0    7.0    5.0    248.0    326.0    125.0    235.8    298.4    39.0    12.2    3.0    1.0    -1.0    1.0    249.0    -1.0    1.0    -1.0    248.0    235.8    3.0    326.0    298.4    4.0    125.0    2.0    39.0    1.0    354.686    355.699    363.056    368.412    5.024    373.435    14.223  
 3.0    7.0    12.0    228.0    34.0    131.0    291.0    45.6    159.0    63.0    3.0    2.0    0.0    1.0    248.0    -20.0    20.0    20.0    34.0    45.6    1.0    131.0    159.0    2.0    228.0    3.0    291.0    4.0    374.072    382.445    375.088    394.8    5.017    399.817    21.226  
 1.0    7.0    5.0    152.0    314.0    20.0    141.1    292.9    209.0    10.9    2.0    1.0    -1.0    1.0    154.0    -2.0    2.0    -2.0    152.0    141.1    2.0    314.0    292.9    4.0    20.0    1.0    209.0    3.0    400.454    401.468    408.827    414.181    5.021    419.203    14.225  
