 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    0.2    11.8    0.0    1.0    0.0    244.0    226.2    3.0    50.0    28.3    1.0    335.0    4.0    124.0    2.0    335.0    4.0    244.0    50.0    124.0    2.0    226.2    28.3    149.0  
 1.0    0.2    11.8    1.0    1.0    0.0    144.0    155.3    2.0    205.0    233.8    3.0    317.0    4.0    48.0    1.0    144.0    2.0    205.0    317.0    155.3    2.0    233.8    48.0    11.3  
 3.0    0.2    11.8    0.0    1.0    1.0    151.0    132.6    2.0    241.0    214.6    3.0    339.0    4.0    54.0    1.0    339.0    4.0    151.0    241.0    54.0    1.0    132.6    214.6    75.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    141.0    130.3    2.0    331.0    306.0    4.0    63.0    1.0    234.0    3.0    141.0    2.0    331.0    63.0    130.3    2.0    306.0    234.0    10.7  
 1.0    0.2    11.8    -1.0    1.0    0.0    245.0    228.2    3.0    52.0    31.7    1.0    127.0    2.0    329.0    4.0    245.0    3.0    52.0    127.0    228.2    3.0    31.7    329.0    16.8  
 3.0    7.0    5.0    0.0    1.0    0.0    147.0    130.5    2.0    240.0    210.2    3.0    28.0    1.0    315.0    4.0    28.0    1.0    147.0    240.0    315.0    4.0    130.5    210.2    73.0  
 1.0    0.2    11.8    -1.0    1.0    1.0    63.0    45.7    1.0    234.0    210.6    3.0    128.0    2.0    302.0    4.0    63.0    1.0    234.0    128.0    45.7    1.0    210.6    302.0    17.3  
 3.0    7.0    5.0    0.0    1.0    0.0    308.0    318.5    4.0    137.0    157.2    2.0    209.0    3.0    69.0    1.0    209.0    3.0    308.0    137.0    69.0    1.0    318.5    157.2    140.0  
 1.0    0.2    11.8    1.0    1.0    0.0    45.0    60.4    1.0    313.0    338.8    4.0    239.0    3.0    115.0    2.0    45.0    1.0    313.0    239.0    60.4    1.0    338.8    115.0    15.4  
 1.0    7.0    5.0    -1.0    1.0    0.0    58.0    39.2    1.0    235.0    208.7    3.0    306.0    4.0    126.0    2.0    58.0    1.0    235.0    306.0    39.2    1.0    208.7    126.0    18.8  
 3.0    0.2    11.8    0.0    1.0    1.0    20.0    36.3    1.0    298.0    321.3    4.0    152.0    2.0    242.0    3.0    152.0    2.0    20.0    298.0    242.0    3.0    36.3    321.3    90.0  
 1.0    7.0    5.0    1.0    1.0    1.0    224.0    234.8    3.0    21.0    47.2    1.0    118.0    2.0    316.0    4.0    224.0    3.0    21.0    118.0    234.8    3.0    47.2    316.0    10.8  
 1.0    0.2    11.8    1.0    1.0    0.0    324.0    334.6    4.0    212.0    235.0    3.0    40.0    1.0    154.0    2.0    324.0    4.0    212.0    40.0    334.6    4.0    235.0    154.0    10.6  
 1.0    7.0    5.0    -1.0    1.0    0.0    148.0    137.9    2.0    235.0    206.9    3.0    319.0    4.0    53.0    1.0    148.0    2.0    235.0    319.0    137.9    2.0    206.9    53.0    10.1  
 3.0    7.0    5.0    0.0    1.0    0.0    222.0    210.3    3.0    339.0    309.7    4.0    144.0    2.0    32.0    1.0    144.0    2.0    222.0    339.0    32.0    1.0    210.3    309.7    112.0  
 1.0    0.2    11.8    1.0    1.0    0.0    130.0    149.4    2.0    21.0    41.9    1.0    336.0    4.0    237.0    3.0    130.0    2.0    21.0    336.0    149.4    2.0    41.9    237.0    19.4  
 1.0    0.2    11.8    -1.0    1.0    1.0    159.0    139.4    2.0    46.0    23.7    1.0    311.0    4.0    206.0    3.0    159.0    2.0    46.0    311.0    139.4    2.0    23.7    206.0    19.6  
 3.0    7.0    5.0    0.0    1.0    1.0    69.0    51.8    1.0    137.0    113.7    2.0    238.0    3.0    332.0    4.0    238.0    3.0    69.0    137.0    332.0    4.0    51.8    113.7    94.0  
 3.0    7.0    5.0    0.0    1.0    0.0    215.0    226.7    3.0    303.0    329.2    4.0    140.0    2.0    69.0    1.0    140.0    2.0    215.0    303.0    69.0    1.0    226.7    329.2    71.0  
 3.0    0.2    11.8    0.0    1.0    0.0    243.0    232.7    3.0    326.0    297.4    4.0    118.0    2.0    46.0    1.0    118.0    2.0    243.0    326.0    46.0    1.0    232.7    297.4    72.0  
 1.0    7.0    5.0    1.0    1.0    1.0    125.0    140.6    2.0    214.0    237.7    3.0    35.0    1.0    292.0    4.0    125.0    2.0    214.0    35.0    140.6    2.0    237.7    292.0    15.6  
 1.0    0.2    11.8    -1.0    1.0    1.0    132.0    115.6    2.0    234.0    208.0    3.0    39.0    1.0    317.0    4.0    132.0    2.0    234.0    39.0    115.6    2.0    208.0    317.0    16.4  
 3.0    0.2    11.8    0.0    1.0    1.0    223.0    235.2    3.0    132.0    157.8    2.0    306.0    4.0    54.0    1.0    306.0    4.0    223.0    132.0    54.0    1.0    235.2    157.8    108.0  
 1.0    7.0    5.0    1.0    1.0    0.0    208.0    226.1    3.0    20.0    42.6    1.0    159.0    2.0    338.0    4.0    208.0    3.0    20.0    159.0    226.1    3.0    42.6    338.0    18.1  
 1.0    7.0    5.0    1.0    1.0    1.0    294.0    305.7    4.0    211.0    231.5    3.0    42.0    1.0    138.0    2.0    294.0    4.0    211.0    42.0    305.7    4.0    231.5    138.0    11.7  
 3.0    7.0    5.0    0.0    1.0    0.0    148.0    132.5    2.0    242.0    219.2    3.0    57.0    1.0    323.0    4.0    57.0    1.0    148.0    242.0    323.0    4.0    132.5    219.2    94.0  
 3.0    0.2    11.8    0.0    1.0    1.0    54.0    67.0    1.0    308.0    329.8    4.0    150.0    2.0    214.0    3.0    150.0    2.0    54.0    308.0    214.0    3.0    67.0    329.8    64.0  
 3.0    7.0    5.0    0.0    1.0    0.0    292.0    305.2    4.0    221.0    244.0    3.0    139.0    2.0    54.0    1.0    139.0    2.0    292.0    221.0    54.0    1.0    305.2    244.0    85.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    133.0    115.5    2.0    58.0    31.3    1.0    304.0    4.0    232.0    3.0    133.0    2.0    58.0    304.0    115.5    2.0    31.3    232.0    17.5  
