 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    324.0    4.0    116.0    243.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    212.0    3.0    303.0    122.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    317.0    4.0    115.0    239.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    26.0    1.0    134.0    238.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    209.0    3.0    38.0    145.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    218.0    3.0    132.0    304.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    213.0    3.0    296.0    56.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    52.0    1.0    309.0    130.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    47.0    1.0    208.0    317.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    299.0    4.0    26.0    238.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    231.0    3.0    28.0    143.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    317.0    4.0    201.0    158.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    214.0    3.0    306.0    139.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    121.0    2.0    214.0    44.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    146.0    2.0    217.0    291.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    206.0    3.0    313.0    35.0    -1.0    -1.0    -1.0    -1.0    0.0  
 4.0    0.0    12.0    0.0    0.0    0.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    234.0    3.0    314.0    55.0    -1.0    -1.0    -1.0    -1.0    0.0  
