 r    deg    same-diff  
 16    175    0  
 16    125    0  
 16    185    1  
 16    285    1  
 16    275    1  
 16    5    0  
 16    55    0  
 16    315    1  
 16    65    0  
 16    95    0  
 16    135    0  
 16    305    1  
 16    215    1  
 16    75    0  
 16    225    1  
 16    265    1  
 16    165    0  
 16    105    0  
 16    295    1  
 16    245    1  
 16    195    1  
 16    115    0  
 16    355    1  
 16    45    0  
 16    325    1  
 16    85    0  
 16    35    0  
 16    25    0  
 16    145    0  
 16    15    0  
 16    235    1  
 16    205    1  
 16    155    0  
 16    345    1  
 16    335    1  
 16    255    1  
