 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    0.2    11.8    142.0    241.0    321.0    126.0    214.7    64.0    16.0    2.0    1.0    -1.0    1.0    145.0    -3.0    3.0    -3.0    142.0    126.0    2.0    241.0    214.7    3.0    321.0    4.0    64.0    1.0    38.2    39.433    40.033    52.249    5.017    57.266    14.562  
 3.0    7.0    12.0    204.0    51.0    114.0    311.0    65.1    134.2    107.0    3.0    2.0    0.0    1.0    205.0    -1.0    1.0    1.0    51.0    65.1    1.0    114.0    134.2    2.0    204.0    3.0    311.0    4.0    57.933    66.399    58.999    78.799    5.017    83.816    21.362  
 3.0    7.0    5.0    63.0    200.0    139.0    305.0    216.7    159.5    118.0    1.0    1.0    0.0    1.0    60.0    3.0    3.0    3.0    200.0    216.7    3.0    139.0    159.5    2.0    63.0    1.0    305.0    4.0    84.466    85.533    92.933    98.333    5.017    103.349    14.355  
 3.0    7.0    12.0    296.0    223.0    156.0    53.0    204.2    126.5    117.0    4.0    2.0    0.0    1.0    297.0    -1.0    1.0    1.0    223.0    204.2    3.0    156.0    126.5    2.0    296.0    4.0    53.0    1.0    104.0    112.466    105.066    124.866    5.017    129.883    21.362  
 3.0    0.2    11.8    312.0    42.0    232.0    113.0    29.4    206.6    161.0    4.0    1.0    0.0    0.0    308.0    4.0    4.0    -4.0    42.0    29.4    1.0    232.0    206.6    3.0    312.0    4.0    113.0    2.0    130.533    131.6    132.2    144.4    5.017    149.416    14.362  
 1.0    7.0    12.0    322.0    137.0    203.0    303.4    111.7    27.0    18.6    4.0    2.0    -1.0    1.0    0.0    -38.0    38.0    -38.0    322.0    303.4    4.0    137.0    111.7    2.0    203.0    3.0    27.0    1.0    150.067    158.533    151.133    170.933    5.017    175.95    21.362  
 3.0    0.2    12.0    152.0    216.0    43.0    303.0    230.6    66.2    151.0    2.0    2.0    0.0    1.0    180.0    -28.0    28.0    28.0    216.0    230.6    3.0    43.0    66.2    1.0    152.0    2.0    303.0    4.0    176.6    178.283    177.683    190.683    5.017    195.7    14.579  
 3.0    0.2    11.8    131.0    242.0    339.0    43.0    230.4    311.9    88.0    2.0    1.0    0.0    0.0    117.0    14.0    14.0    14.0    242.0    230.4    3.0    339.0    311.9    4.0    131.0    2.0    43.0    1.0    196.35    197.417    198.017    210.217    5.017    215.233    14.362  
 3.0    0.2    11.8    313.0    39.0    243.0    153.0    22.4    215.4    160.0    4.0    1.0    0.0    0.0    348.0    -35.0    35.0    -35.0    39.0    22.4    1.0    243.0    215.4    3.0    313.0    4.0    153.0    2.0    215.884    216.95    217.55    229.75    5.017    234.767    14.362  
 1.0    0.2    11.8    137.0    227.0    302.0    118.5    200.5    69.0    18.5    2.0    1.0    -1.0    1.0    119.0    18.0    18.0    18.0    137.0    118.5    2.0    227.0    200.5    3.0    302.0    4.0    69.0    1.0    235.417    236.484    237.084    249.283    5.017    254.3    14.362  
