 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    12.0    0.0    2.0    0.0    330.0    313.1    4.0    241.0    215.2    3.0    36.0    1.0    133.0    2.0    36.0    1.0    330.0    241.0    133.0    2.0    313.1    215.2    97.0  
 3.0    7.0    12.0    0.0    2.0    1.0    44.0    33.3    1.0    244.0    221.1    3.0    319.0    4.0    127.0    2.0    319.0    4.0    44.0    244.0    127.0    2.0    33.3    221.1    168.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    158.0    142.4    2.0    316.0    294.3    4.0    62.0    1.0    201.0    3.0    158.0    2.0    316.0    62.0    142.4    2.0    294.3    201.0    15.6  
 3.0    7.0    12.0    0.0    2.0    1.0    44.0    63.3    1.0    126.0    154.5    2.0    327.0    4.0    238.0    3.0    327.0    4.0    44.0    126.0    238.0    3.0    63.3    154.5    89.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    138.0    125.0    2.0    234.0    204.4    3.0    60.0    1.0    316.0    4.0    138.0    2.0    234.0    60.0    125.0    2.0    204.4    316.0    13.0  
 3.0    7.0    5.0    0.0    1.0    0.0    153.0    137.1    2.0    325.0    296.0    4.0    31.0    1.0    248.0    3.0    31.0    1.0    153.0    325.0    248.0    3.0    137.1    296.0    143.0  
 1.0    7.0    5.0    1.0    1.0    1.0    36.0    46.2    1.0    223.0    244.5    3.0    151.0    2.0    334.0    4.0    36.0    1.0    223.0    151.0    46.2    1.0    244.5    334.0    10.2  
 3.0    7.0    12.0    0.0    2.0    1.0    142.0    155.7    2.0    302.0    323.9    4.0    202.0    3.0    54.0    1.0    202.0    3.0    142.0    302.0    54.0    1.0    155.7    323.9    148.0  
 1.0    7.0    5.0    1.0    1.0    0.0    316.0    333.7    4.0    130.0    157.3    2.0    54.0    1.0    240.0    3.0    316.0    4.0    130.0    54.0    333.7    4.0    157.3    240.0    17.7  
 1.0    7.0    12.0    -1.0    2.0    1.0    249.0    229.2    3.0    153.0    126.6    2.0    57.0    1.0    310.0    4.0    249.0    3.0    153.0    57.0    229.2    3.0    126.6    310.0    19.8  
 1.0    7.0    5.0    1.0    1.0    0.0    323.0    337.6    4.0    44.0    67.1    1.0    148.0    2.0    231.0    3.0    323.0    4.0    44.0    148.0    337.6    4.0    67.1    231.0    14.6  
 3.0    7.0    5.0    0.0    1.0    1.0    128.0    139.7    2.0    32.0    58.8    1.0    228.0    3.0    339.0    4.0    228.0    3.0    128.0    32.0    339.0    4.0    139.7    58.8    111.0  
 3.0    7.0    12.0    0.0    2.0    1.0    43.0    32.2    1.0    247.0    222.5    3.0    317.0    4.0    128.0    2.0    317.0    4.0    43.0    247.0    128.0    2.0    32.2    222.5    171.0  
 3.0    7.0    5.0    0.0    1.0    0.0    235.0    221.5    3.0    46.0    25.5    1.0    150.0    2.0    309.0    4.0    150.0    2.0    235.0    46.0    309.0    4.0    221.5    25.5    159.0  
 3.0    7.0    5.0    0.0    1.0    1.0    38.0    21.2    1.0    159.0    129.3    2.0    323.0    4.0    200.0    3.0    323.0    4.0    38.0    159.0    200.0    3.0    21.2    129.3    123.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    308.0    297.1    4.0    49.0    25.1    1.0    240.0    3.0    143.0    2.0    308.0    4.0    49.0    240.0    297.1    4.0    25.1    143.0    10.9  
 1.0    7.0    5.0    1.0    1.0    0.0    142.0    154.0    2.0    207.0    236.1    3.0    44.0    1.0    293.0    4.0    142.0    2.0    207.0    44.0    154.0    2.0    236.1    293.0    12.0  
 3.0    7.0    12.0    0.0    2.0    1.0    305.0    316.8    4.0    202.0    231.4    3.0    36.0    1.0    132.0    2.0    36.0    1.0    305.0    202.0    132.0    2.0    316.8    231.4    96.0  
 3.0    7.0    5.0    0.0    1.0    0.0    119.0    132.9    2.0    297.0    322.2    4.0    211.0    3.0    38.0    1.0    211.0    3.0    119.0    297.0    38.0    1.0    132.9    322.2    173.0  
 3.0    7.0    5.0    0.0    1.0    1.0    49.0    61.9    1.0    309.0    337.9    4.0    201.0    3.0    134.0    2.0    201.0    3.0    49.0    309.0    134.0    2.0    61.9    337.9    67.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    150.0    133.9    2.0    68.0    43.7    1.0    312.0    4.0    230.0    3.0    150.0    2.0    68.0    312.0    133.9    2.0    43.7    230.0    16.1  
 1.0    7.0    12.0    -1.0    2.0    1.0    232.0    216.9    3.0    157.0    131.6    2.0    52.0    1.0    301.0    4.0    232.0    3.0    157.0    52.0    216.9    3.0    131.6    301.0    15.1  
 3.0    7.0    5.0    0.0    1.0    1.0    148.0    136.2    2.0    67.0    38.2    1.0    245.0    3.0    330.0    4.0    245.0    3.0    148.0    67.0    330.0    4.0    136.2    38.2    85.0  
