 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    217.0    206.7    3.0    55.0    25.5    1.0    304.0    4.0    155.0    2.0    304.0    4.0    217.0    55.0    155.0    2.0    206.7    25.5    149.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    35.0    21.7    1.0    144.0    121.4    2.0    245.0    3.0    317.0    4.0    35.0    1.0    144.0    245.0    21.7    1.0    121.4    317.0    13.3  
 1.0    7.0    12.0    1.0    2.0    0.0    142.0    153.2    2.0    206.0    226.2    3.0    337.0    4.0    49.0    1.0    142.0    2.0    206.0    337.0    153.2    2.0    226.2    49.0    11.2  
 3.0    7.0    5.0    0.0    1.0    1.0    328.0    314.7    4.0    245.0    218.4    3.0    66.0    1.0    129.0    2.0    66.0    1.0    328.0    245.0    129.0    2.0    314.7    218.4    63.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    319.0    300.5    4.0    230.0    209.8    3.0    60.0    1.0    125.0    2.0    319.0    4.0    230.0    60.0    300.5    4.0    209.8    125.0    18.5  
 3.0    7.0    12.0    0.0    2.0    0.0    153.0    136.9    2.0    247.0    218.4    3.0    294.0    4.0    43.0    1.0    294.0    4.0    153.0    247.0    43.0    1.0    136.9    218.4    109.0  
 1.0    7.0    5.0    1.0    1.0    1.0    233.0    246.7    3.0    35.0    62.5    1.0    111.0    2.0    311.0    4.0    233.0    3.0    35.0    111.0    246.7    3.0    62.5    311.0    13.7  
 3.0    7.0    12.0    0.0    2.0    1.0    240.0    222.6    3.0    62.0    37.7    1.0    143.0    2.0    308.0    4.0    143.0    2.0    240.0    62.0    308.0    4.0    222.6    37.7    165.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    246.0    231.9    3.0    60.0    40.0    1.0    303.0    4.0    141.0    2.0    246.0    3.0    60.0    303.0    231.9    3.0    40.0    141.0    14.1  
 1.0    7.0    5.0    1.0    1.0    0.0    30.0    46.3    1.0    122.0    151.2    2.0    324.0    4.0    206.0    3.0    30.0    1.0    122.0    324.0    46.3    1.0    151.2    206.0    16.3  
 3.0    7.0    12.0    0.0    2.0    0.0    121.0    131.8    2.0    220.0    243.9    3.0    51.0    1.0    323.0    4.0    51.0    1.0    121.0    220.0    323.0    4.0    131.8    243.9    88.0  
 1.0    7.0    12.0    1.0    2.0    1.0    36.0    55.3    1.0    123.0    143.0    2.0    307.0    4.0    243.0    3.0    36.0    1.0    123.0    307.0    55.3    1.0    143.0    243.0    19.3  
 1.0    7.0    5.0    1.0    1.0    1.0    200.0    211.5    3.0    299.0    322.1    4.0    147.0    2.0    69.0    1.0    200.0    3.0    299.0    147.0    211.5    3.0    322.1    69.0    11.5  
 3.0    7.0    12.0    0.0    2.0    0.0    234.0    218.5    3.0    58.0    29.0    1.0    332.0    4.0    120.0    2.0    332.0    4.0    234.0    58.0    120.0    2.0    218.5    29.0    148.0  
 3.0    7.0    12.0    0.0    2.0    1.0    324.0    307.2    4.0    159.0    132.3    2.0    47.0    1.0    236.0    3.0    47.0    1.0    324.0    159.0    236.0    3.0    307.2    132.3    171.0  
 3.0    7.0    5.0    0.0    1.0    0.0    118.0    131.0    2.0    33.0    61.9    1.0    228.0    3.0    299.0    4.0    228.0    3.0    118.0    33.0    299.0    4.0    131.0    61.9    71.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    229.0    210.3    3.0    50.0    27.9    1.0    153.0    2.0    291.0    4.0    229.0    3.0    50.0    153.0    210.3    3.0    27.9    291.0    18.7  
 3.0    7.0    5.0    0.0    1.0    1.0    209.0    228.0    3.0    295.0    320.3    4.0    114.0    2.0    38.0    1.0    114.0    2.0    209.0    295.0    38.0    1.0    228.0    320.3    76.0  
 3.0    7.0    5.0    0.0    1.0    0.0    158.0    145.4    2.0    237.0    216.0    3.0    49.0    1.0    334.0    4.0    49.0    1.0    158.0    237.0    334.0    4.0    145.4    216.0    75.0  
 3.0    7.0    5.0    0.0    1.0    1.0    293.0    304.8    4.0    37.0    58.7    1.0    143.0    2.0    231.0    3.0    143.0    2.0    293.0    37.0    231.0    3.0    304.8    58.7    88.0  
 3.0    7.0    5.0    0.0    1.0    1.0    69.0    55.3    1.0    324.0    298.8    4.0    154.0    2.0    243.0    3.0    154.0    2.0    69.0    324.0    243.0    3.0    55.3    298.8    89.0  
 1.0    7.0    5.0    1.0    1.0    0.0    293.0    305.1    4.0    25.0    48.3    1.0    242.0    3.0    154.0    2.0    293.0    4.0    25.0    242.0    305.1    4.0    48.3    154.0    12.1  
 1.0    7.0    5.0    1.0    1.0    1.0    316.0    329.9    4.0    115.0    139.8    2.0    28.0    1.0    216.0    3.0    316.0    4.0    115.0    28.0    329.9    4.0    139.8    216.0    13.9  
 3.0    7.0    5.0    0.0    1.0    1.0    328.0    339.1    4.0    118.0    139.9    2.0    244.0    3.0    37.0    1.0    244.0    3.0    328.0    118.0    37.0    1.0    339.1    139.9    153.0  
 3.0    7.0    5.0    0.0    1.0    0.0    31.0    43.8    1.0    312.0    336.8    4.0    126.0    2.0    209.0    3.0    126.0    2.0    31.0    312.0    209.0    3.0    43.8    336.8    83.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    243.0    230.3    3.0    146.0    124.5    2.0    321.0    4.0    56.0    1.0    243.0    3.0    146.0    321.0    230.3    3.0    124.5    56.0    12.7  
 3.0    7.0    12.0    0.0    2.0    1.0    232.0    213.7    3.0    53.0    30.5    1.0    138.0    2.0    325.0    4.0    138.0    2.0    232.0    53.0    325.0    4.0    213.7    30.5    173.0  
 3.0    7.0    12.0    0.0    2.0    0.0    323.0    310.2    4.0    60.0    37.0    1.0    146.0    2.0    211.0    3.0    146.0    2.0    323.0    60.0    211.0    3.0    310.2    37.0    65.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    139.0    120.3    2.0    231.0    202.2    3.0    63.0    1.0    311.0    4.0    139.0    2.0    231.0    63.0    120.3    2.0    202.2    311.0    18.7  
 3.0    7.0    12.0    0.0    2.0    1.0    151.0    134.3    2.0    316.0    290.4    4.0    37.0    1.0    247.0    3.0    37.0    1.0    151.0    316.0    247.0    3.0    134.3    290.4    150.0  
 3.0    7.0    5.0    0.0    1.0    0.0    68.0    50.3    1.0    315.0    293.8    4.0    214.0    3.0    151.0    2.0    214.0    3.0    68.0    315.0    151.0    2.0    50.3    293.8    63.0  
 1.0    7.0    12.0    1.0    2.0    0.0    111.0    130.0    2.0    307.0    333.7    4.0    25.0    1.0    226.0    3.0    111.0    2.0    307.0    25.0    130.0    2.0    333.7    226.0    19.0  
 3.0    7.0    12.0    0.0    2.0    0.0    44.0    54.7    1.0    111.0    138.0    2.0    296.0    4.0    242.0    3.0    296.0    4.0    44.0    111.0    242.0    3.0    54.7    138.0    54.0  
 3.0    7.0    5.0    0.0    1.0    0.0    58.0    40.9    1.0    230.0    202.6    3.0    306.0    4.0    115.0    2.0    306.0    4.0    58.0    230.0    115.0    2.0    40.9    202.6    169.0  
 3.0    7.0    12.0    0.0    2.0    1.0    323.0    305.3    4.0    57.0    37.0    1.0    111.0    2.0    231.0    3.0    111.0    2.0    323.0    57.0    231.0    3.0    305.3    37.0    120.0  
 3.0    7.0    5.0    0.0    1.0    1.0    53.0    67.6    1.0    217.0    243.6    3.0    138.0    2.0    332.0    4.0    138.0    2.0    53.0    217.0    332.0    4.0    67.6    243.6    166.0  
 3.0    7.0    5.0    0.0    1.0    0.0    314.0    298.5    4.0    52.0    24.9    1.0    221.0    3.0    152.0    2.0    221.0    3.0    314.0    52.0    152.0    2.0    298.5    24.9    69.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    159.0    148.6    2.0    58.0    28.5    1.0    225.0    3.0    305.0    4.0    159.0    2.0    58.0    225.0    148.6    2.0    28.5    305.0    10.4  
 1.0    7.0    5.0    1.0    1.0    1.0    116.0    131.8    2.0    219.0    247.9    3.0    309.0    4.0    25.0    1.0    116.0    2.0    219.0    309.0    131.8    2.0    247.9    25.0    15.8  
 1.0    7.0    5.0    1.0    1.0    1.0    118.0    134.2    2.0    220.0    245.5    3.0    299.0    4.0    47.0    1.0    118.0    2.0    220.0    299.0    134.2    2.0    245.5    47.0    16.2  
 3.0    7.0    12.0    0.0    2.0    1.0    115.0    133.9    2.0    27.0    51.5    1.0    214.0    3.0    328.0    4.0    214.0    3.0    115.0    27.0    328.0    4.0    133.9    51.5    114.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    48.0    31.6    1.0    242.0    220.9    3.0    121.0    2.0    317.0    4.0    48.0    1.0    242.0    121.0    31.6    1.0    220.9    317.0    16.4  
 3.0    7.0    5.0    0.0    1.0    1.0    315.0    327.6    4.0    118.0    145.4    2.0    30.0    1.0    221.0    3.0    30.0    1.0    315.0    118.0    221.0    3.0    327.6    145.4    169.0  
 3.0    7.0    12.0    0.0    2.0    1.0    317.0    305.9    4.0    248.0    223.0    3.0    138.0    2.0    41.0    1.0    138.0    2.0    317.0    248.0    41.0    1.0    305.9    223.0    97.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    302.0    291.8    4.0    228.0    204.4    3.0    135.0    2.0    57.0    1.0    302.0    4.0    228.0    135.0    291.8    4.0    204.4    57.0    10.2  
 1.0    7.0    12.0    1.0    2.0    1.0    295.0    309.3    4.0    33.0    60.7    1.0    114.0    2.0    241.0    3.0    295.0    4.0    33.0    114.0    309.3    4.0    60.7    241.0    14.3  
 3.0    7.0    5.0    0.0    1.0    1.0    144.0    126.6    2.0    315.0    292.5    4.0    28.0    1.0    233.0    3.0    28.0    1.0    144.0    315.0    233.0    3.0    126.6    292.5    155.0  
 3.0    7.0    12.0    0.0    2.0    0.0    231.0    212.1    3.0    147.0    118.5    2.0    58.0    1.0    303.0    4.0    58.0    1.0    231.0    147.0    303.0    4.0    212.1    118.5    115.0  
