 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    0.2    11.8    335.0    0.0    0.0    124.0    0.0    0.0    149.0    4.0    1.0    0.0    0.0    327.0    8.0    8.0    -8.0    244.0    226.2    3.0    50.0    28.3    1.0    335.0    4.0    124.0    2.0    44.819    45.897    46.45    58.607    5.026    63.633    14.287  
 1.0    0.2    11.8    144.0    0.0    0.0    155.3    0.0    0.0    11.3    2.0    1.0    1.0    0.0    143.0    1.0    1.0    -1.0    144.0    155.3    2.0    205.0    233.8    3.0    317.0    4.0    48.0    1.0    64.27    65.281    65.835    77.991    5.028    83.018    14.219  
 3.0    0.2    11.8    339.0    0.0    0.0    54.0    0.0    0.0    75.0    4.0    1.0    0.0    1.0    339.0    0.0    0.0    0.0    151.0    132.6    2.0    241.0    214.6    3.0    339.0    4.0    54.0    1.0    83.656    84.666    85.22    97.375    5.029    102.404    14.218  
 1.0    7.0    5.0    141.0    0.0    0.0    130.3    0.0    0.0    10.7    2.0    1.0    -1.0    0.0    145.0    -4.0    4.0    -4.0    141.0    130.3    2.0    331.0    306.0    4.0    63.0    1.0    234.0    3.0    103.041    104.052    111.404    116.761    5.029    121.79    14.217  
 1.0    0.2    11.8    245.0    0.0    0.0    228.2    0.0    0.0    16.8    3.0    1.0    -1.0    0.0    242.0    3.0    3.0    3.0    245.0    228.2    3.0    52.0    31.7    1.0    127.0    2.0    329.0    4.0    122.426    123.436    123.99    136.145    5.031    141.175    14.216  
 3.0    7.0    5.0    28.0    0.0    0.0    315.0    0.0    0.0    73.0    1.0    1.0    0.0    0.0    20.0    8.0    8.0    8.0    147.0    130.5    2.0    240.0    210.2    3.0    28.0    1.0    315.0    4.0    141.812    142.821    150.176    155.53    5.031    160.561    14.216  
 1.0    0.2    11.8    63.0    0.0    0.0    45.7    0.0    0.0    17.3    1.0    1.0    -1.0    1.0    78.0    -15.0    15.0    -15.0    63.0    45.7    1.0    234.0    210.6    3.0    128.0    2.0    302.0    4.0    161.198    162.21    162.763    174.919    5.028    179.946    14.219  
 3.0    7.0    5.0    209.0    0.0    0.0    69.0    0.0    0.0    140.0    3.0    1.0    0.0    0.0    212.0    -3.0    3.0    -3.0    308.0    318.5    4.0    137.0    157.2    2.0    209.0    3.0    69.0    1.0    180.584    181.595    188.95    194.305    5.027    199.332    14.22  
 1.0    0.2    11.8    45.0    0.0    0.0    60.4    0.0    0.0    15.4    1.0    1.0    1.0    0.0    24.0    21.0    21.0    -21.0    45.0    60.4    1.0    313.0    338.8    4.0    239.0    3.0    115.0    2.0    199.969    200.98    201.534    213.689    5.028    218.718    14.219  
 1.0    7.0    5.0    58.0    0.0    0.0    39.2    0.0    0.0    18.8    1.0    1.0    -1.0    0.0    59.0    -1.0    1.0    -1.0    58.0    39.2    1.0    235.0    208.7    3.0    306.0    4.0    126.0    2.0    219.354    220.369    227.722    233.079    5.024    238.103    14.222  
 3.0    0.2    11.8    152.0    0.0    0.0    242.0    0.0    0.0    90.0    2.0    1.0    0.0    1.0    151.0    1.0    1.0    -1.0    20.0    36.3    1.0    298.0    321.3    4.0    152.0    2.0    242.0    3.0    238.739    239.751    240.305    252.46    5.029    257.489    14.217  
 1.0    7.0    5.0    224.0    0.0    0.0    234.8    0.0    0.0    10.8    3.0    1.0    1.0    1.0    245.0    -21.0    21.0    21.0    224.0    234.8    3.0    21.0    47.2    1.0    118.0    2.0    316.0    4.0    258.126    259.137    266.491    271.845    5.029    276.875    14.218  
 1.0    0.2    11.8    324.0    0.0    0.0    334.6    0.0    0.0    10.6    4.0    1.0    1.0    0.0    316.0    8.0    8.0    -8.0    324.0    334.6    4.0    212.0    235.0    3.0    40.0    1.0    154.0    2.0    277.511    278.523    279.077    291.233    5.027    296.26    14.219  
