 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513    48.513  
 1.0    15.0    153.0    110.0    161.0    120.0    -1.0    -1.0    0.0    50.65    50.65    50.894    51.223    54.397    54.397    55.831  
 2.0    15.0    153.0    110.0    161.0    120.0    -1.0    -1.0    0.0    50.65    50.65    56.267    56.599    59.773    59.773    61.193  
 1.0    15.0    17.0    58.0    22.0    52.0    1.0    1.0    0.0    66.295    66.295    66.752    67.085    70.259    70.259    71.493  
 2.0    15.0    17.0    58.0    22.0    52.0    -1.0    -1.0    0.0    66.295    66.295    71.912    72.395    75.402    75.402    77.304  
 1.0    15.0    312.0    296.0    313.0    294.0    1.0    1.0    0.0    81.952    81.952    82.415    82.747    85.921    85.921    87.09  
 2.0    15.0    312.0    296.0    313.0    294.0    -1.0    1.0    1.0    81.952    81.952    89.194    89.527    92.701    92.701    94.185  
 1.0    15.0    339.0    318.0    336.0    313.0    -1.0    -1.0    0.0    97.225    97.225    97.459    97.792    100.966    100.966    102.134  
 2.0    15.0    339.0    318.0    336.0    313.0    -1.0    -1.0    0.0    97.225    97.225    103.537    103.87    107.044    107.044    108.212  
 1.0    15.0    18.0    47.0    27.0    55.0    1.0    1.0    0.0    113.033    113.033    113.505    113.973    117.012    117.012    118.213  
 2.0    15.0    18.0    47.0    27.0    55.0    1.0    1.0    0.0    113.033    113.033    118.882    119.215    122.389    122.389    123.557  
 1.0    15.0    106.0    159.0    104.0    165.0    1.0    1.0    0.0    128.856    128.856    129.318    129.786    132.824    132.824    133.993  
 2.0    15.0    106.0    159.0    104.0    165.0    -1.0    -1.0    0.0    128.856    128.856    136.331    136.664    139.837    139.837    141.055  
 1.0    15.0    112.0    148.0    116.0    153.0    -1.0    0.0    999.0    144.149    144.149    144.379    144.846    147.885    147.885    0.0  
 2.0    15.0    112.0    148.0    116.0    153.0    -1.0    -1.0    0.0    144.149    144.149    149.755    150.088    153.127    153.127    154.213  
 1.0    15.0    125.0    169.0    117.0    171.0    1.0    1.0    0.0    159.702    159.702    160.191    160.674    163.681    163.681    164.682  
 2.0    15.0    125.0    169.0    117.0    171.0    -1.0    -1.0    0.0    159.702    159.702    165.317    165.785    168.824    168.824    169.776  
 1.0    15.0    245.0    203.0    247.0    211.0    -1.0    1.0    1.0    175.275    175.275    175.602    176.069    179.108    179.108    180.412  
