 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 172.0    172.0    16.0    3.0    175.0    0.0    1.0    1.0    55.946    4.738    55.946    56.451    60.165    61.137  
 123.0    123.0    16.0    3.0    125.0    0.0    0.0    0.0    67.235    4.752    67.235    67.741    71.469    72.876  
 189.0    199.0    16.0    3.0    185.0    1.0    1.0    0.0    77.576    4.748    77.576    78.081    81.805    83.427  
 288.0    278.0    16.0    3.0    285.0    1.0    1.0    0.0    88.586    4.741    88.586    89.091    92.808    93.963  
 277.0    268.0    16.0    3.0    275.0    1.0    1.0    0.0    99.721    4.743    99.721    100.226    103.945    104.916  
 4.0    4.0    16.0    3.0    5.0    0.0    0.0    0.0    111.415    4.737    111.415    111.92    115.633    116.938  
 53.0    53.0    16.0    3.0    55.0    0.0    0.0    0.0    122.353    4.752    122.353    122.859    126.587    127.675  
 316.0    321.0    16.0    3.0    315.0    1.0    1.0    0.0    134.057    4.736    134.057    134.562    138.275    139.596  
 61.0    61.0    16.0    3.0    65.0    0.0    1.0    1.0    145.215    4.75    145.215    145.72    149.446    150.817  
 99.0    99.0    16.0    3.0    95.0    0.0    999.0    999.0    156.246    4.738    156.246    156.749    160.466    162.984  
 139.0    139.0    16.0    3.0    135.0    0.0    0.0    0.0    167.651    4.737    167.651    168.155    171.87    173.258  
 301.0    307.0    16.0    3.0    305.0    1.0    1.0    0.0    179.192    4.752    179.192    179.696    183.425    185.163  
 213.0    222.0    16.0    3.0    215.0    1.0    1.0    0.0    190.675    4.738    190.675    191.179    194.896    196.518  
 76.0    76.0    16.0    3.0    75.0    0.0    999.0    999.0    201.786    4.75    201.786    202.29    206.016    208.536  
 222.0    217.0    16.0    3.0    225.0    1.0    1.0    0.0    213.271    4.752    213.271    213.775    217.504    219.46  
 269.0    264.0    16.0    3.0    265.0    1.0    0.0    1.0    223.714    4.745    223.714    224.219    227.94    229.261  
 163.0    163.0    16.0    3.0    165.0    0.0    0.0    0.0    234.35    4.744    234.35    234.855    238.576    239.981  
 106.0    106.0    16.0    3.0    105.0    0.0    0.0    0.0    244.407    4.74    244.407    244.914    248.628    250.3  
 299.0    306.0    16.0    3.0    295.0    1.0    1.0    0.0    255.949    4.752    255.949    256.453    260.182    261.57  
 246.0    253.0    16.0    3.0    245.0    1.0    1.0    0.0    267.264    4.741    267.264    267.768    271.487    272.758  
 196.0    189.0    16.0    3.0    195.0    1.0    0.0    1.0    278.057    4.752    278.057    278.562    282.29    284.028  
 118.0    118.0    16.0    3.0    115.0    0.0    0.0    0.0    288.291    4.737    288.291    288.794    292.509    293.579  
 358.0    351.0    16.0    3.0    355.0    1.0    0.0    1.0    298.291    4.738    298.291    298.796    302.51    303.581  
 46.0    46.0    16.0    3.0    45.0    0.0    0.0    0.0    309.271    4.744    309.271    309.776    313.497    314.534  
 327.0    334.0    16.0    3.0    325.0    1.0    1.0    0.0    319.328    4.74    319.328    319.833    323.549    325.421  
 84.0    84.0    16.0    3.0    85.0    0.0    999.0    999.0    330.469    4.752    330.469    330.974    334.703    337.222  
 37.0    37.0    16.0    3.0    35.0    0.0    0.0    0.0    340.866    4.741    340.866    341.37    345.088    346.71  
 28.0    28.0    16.0    3.0    25.0    0.0    0.0    0.0    350.988    4.738    350.988    351.492    355.207    356.378  
 141.0    141.0    16.0    3.0    145.0    0.0    999.0    999.0    361.789    4.739    361.79    362.294    366.01    368.529  
 13.0    13.0    16.0    3.0    15.0    0.0    0.0    0.0    371.724    4.74    371.724    372.229    375.945    376.982  
 236.0    244.0    16.0    3.0    235.0    1.0    1.0    0.0    383.447    4.738    383.447    383.951    387.667    388.904  
 201.0    211.0    16.0    3.0    205.0    1.0    1.0    0.0    394.318    4.738    394.318    394.822    398.537    400.025  
 158.0    158.0    16.0    3.0    155.0    0.0    0.0    0.0    404.146    4.744    404.146    404.651    408.371    409.509  
 347.0    353.0    16.0    3.0    345.0    1.0    1.0    0.0    414.291    4.751    414.291    414.796    418.523    419.811  
 336.0    330.0    16.0    3.0    335.0    1.0    0.0    1.0    424.484    4.744    424.484    424.988    428.709    429.696  
 251.0    244.0    16.0    3.0    255.0    1.0    1.0    0.0    436.05    4.748    436.05    436.554    440.28    441.651  
 52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901    52.901  
