 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 4.0    0.0    12.0    324.0    116.0    243.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    0.0    307.0    17.0    17.0    -17.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    62.117    63.199    0.0    75.571    5.026    80.597    13.952  
 4.0    0.0    12.0    212.0    303.0    122.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    228.0    -16.0    16.0    16.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    81.234    82.249    0.0    94.605    5.027    99.632    13.869  
 4.0    0.0    12.0    317.0    115.0    239.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    0.0    318.0    -1.0    1.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    100.27    101.284    0.0    113.657    5.027    118.684    13.886  
 4.0    0.0    12.0    26.0    134.0    238.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    1.0    33.0    -7.0    7.0    -7.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    119.32    120.334    0.0    132.692    5.027    137.719    13.869  
 4.0    0.0    12.0    209.0    38.0    145.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    0.0    201.0    8.0    8.0    -8.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    138.357    139.37    0.0    151.727    5.026    156.754    13.869  
 4.0    0.0    12.0    218.0    132.0    304.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    211.0    7.0    7.0    -7.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    157.39    158.404    0.0    170.762    5.026    175.789    13.869  
 4.0    0.0    12.0    213.0    296.0    56.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    238.0    -25.0    25.0    25.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    176.426    177.44    0.0    189.798    5.026    194.824    13.87  
 4.0    0.0    12.0    52.0    309.0    130.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    0.0    66.0    -14.0    14.0    -14.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    195.46    196.474    0.0    208.832    5.027    213.859    13.869  
 4.0    0.0    12.0    47.0    208.0    317.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    0.0    42.0    5.0    5.0    5.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    214.495    215.513    0.0    227.883    5.027    232.91    13.886  
 4.0    0.0    12.0    299.0    26.0    238.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    1.0    298.0    1.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    233.547    234.56    0.0    246.919    5.026    251.945    13.87  
 4.0    0.0    12.0    231.0    28.0    143.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    244.0    -13.0    13.0    13.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    252.583    253.597    0.0    265.955    5.025    270.98    13.871  
 4.0    0.0    12.0    317.0    201.0    158.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    1.0    292.0    25.0    25.0    -25.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    271.619    272.634    0.0    285.005    5.027    290.032    13.886  
 4.0    0.0    12.0    214.0    306.0    139.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    0.0    210.0    4.0    4.0    -4.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    290.668    291.683    0.0    304.04    5.027    309.067    13.869  
 4.0    0.0    12.0    121.0    214.0    44.0    -1.0    -1.0    -1.0    0.0    2.0    0.0    0.0    0.0    125.0    -4.0    4.0    -4.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    309.704    310.717    0.0    323.075    5.027    328.102    13.869  
 4.0    0.0    12.0    146.0    217.0    291.0    -1.0    -1.0    -1.0    0.0    2.0    0.0    0.0    0.0    156.0    -10.0    10.0    -10.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    328.739    329.754    0.0    342.112    5.025    347.137    13.871  
 4.0    0.0    12.0    206.0    313.0    35.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    217.0    -11.0    11.0    11.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    347.775    348.79    0.0    361.161    5.027    366.188    13.886  
 4.0    0.0    12.0    234.0    314.0    55.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    0.0    241.0    -7.0    7.0    7.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    366.824    367.839    0.0    380.197    5.026    385.223    13.87  
 4.0    0.0    12.0    309.0    43.0    147.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    1.0    299.0    10.0    10.0    -10.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    385.861    386.876    0.0    399.234    5.025    404.258    13.872  
 4.0    0.0    12.0    134.0    24.0    312.0    -1.0    -1.0    -1.0    0.0    2.0    0.0    0.0    0.0    151.0    -17.0    17.0    -17.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    404.896    405.909    0.0    418.267    5.026    423.293    13.869  
 4.0    0.0    12.0    28.0    297.0    125.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    0.0    22.0    6.0    6.0    6.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    423.93    424.945    0.0    437.302    5.026    442.328    13.87  
 4.0    0.0    12.0    215.0    125.0    35.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    0.0    209.0    6.0    6.0    -6.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    442.966    443.981    0.0    456.339    5.024    461.363    13.871  
 4.0    0.0    12.0    304.0    207.0    115.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    1.0    297.0    7.0    7.0    -7.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    462.0    463.014    0.0    475.372    5.026    480.398    13.869  
 4.0    0.0    12.0    316.0    28.0    240.0    -1.0    -1.0    -1.0    0.0    4.0    0.0    0.0    1.0    304.0    12.0    12.0    -12.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    481.035    482.049    0.0    494.406    5.027    499.433    13.869  
 4.0    0.0    12.0    116.0    228.0    60.0    -1.0    -1.0    -1.0    0.0    2.0    0.0    0.0    0.0    117.0    -1.0    1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    500.07    501.084    0.0    513.442    5.027    518.468    13.869  
 4.0    0.0    12.0    226.0    300.0    35.0    -1.0    -1.0    -1.0    0.0    3.0    0.0    0.0    1.0    242.0    -16.0    16.0    16.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    519.106    520.121    0.0    532.493    5.027    537.52    13.886  
 4.0    0.0    12.0    119.0    310.0    221.0    -1.0    -1.0    -1.0    0.0    2.0    0.0    0.0    1.0    126.0    -7.0    7.0    -7.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    538.158    539.172    0.0    551.528    5.027    556.555    13.869  
 4.0    0.0    12.0    52.0    209.0    333.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    1.0    35.0    17.0    17.0    17.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    557.191    558.206    0.0    570.563    5.027    575.59    13.869  
 4.0    0.0    12.0    44.0    118.0    212.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    0.0    24.0    20.0    20.0    20.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    576.226    577.24    0.0    589.597    5.027    594.625    13.869  
 4.0    0.0    12.0    23.0    292.0    206.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    1.0    27.0    -4.0    4.0    -4.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    595.261    596.276    0.0    608.632    5.027    613.66    13.869  
 4.0    0.0    12.0    27.0    113.0    320.0    -1.0    -1.0    -1.0    0.0    1.0    0.0    0.0    1.0    35.0    -8.0    8.0    -8.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    614.296    615.31    0.0    627.668    5.026    632.695    13.87  
 61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496    61.496  
