 T1    T2    P1    P2    d1    d2  
 26.0    76.0    19.0    74.0    -1.0    -1.0  
 226.0    236.0    231.0    232.0    -1.0    1.0  
 119.0    153.0    128.0    151.0    -1.0    1.0  
 281.0    320.0    278.0    324.0    -1.0    1.0  
 27.0    72.0    19.0    69.0    -1.0    -1.0  
 78.0    26.0    81.0    20.0    1.0    -1.0  
 223.0    228.0    224.0    224.0    -1.0    1.0  
 299.0    333.0    293.0    326.0    -1.0    -1.0  
 12.0    19.0    4.0    12.0    -1.0    -1.0  
 324.0    313.0    314.0    319.0    -1.0    1.0  
 147.0    144.0    140.0    137.0    1.0    1.0  
 243.0    207.0    247.0    197.0    -1.0    1.0  
 32.0    42.0    31.0    36.0    -1.0    -1.0  
 318.0    296.0    322.0    293.0    1.0    -1.0  
 199.0    206.0    207.0    210.0    -1.0    -1.0  
 228.0    216.0    231.0    224.0    -1.0    -1.0  
 230.0    231.0    236.0    225.0    -1.0    1.0  
 128.0    169.0    130.0    159.0    -1.0    1.0  
 38.0    38.0    40.0    43.0    1.0    1.0  
 112.0    167.0    117.0    176.0    -1.0    -1.0  
 196.0    228.0    191.0    236.0    1.0    -1.0  
