 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 298.0    308.0    16.0    3.0    295.0    1.0    999.0    999.0    54.818    4.747    54.819    55.324    59.047    61.566  
 123.0    123.0    16.0    3.0    125.0    0.0    999.0    999.0    64.794    4.745    64.794    65.298    69.02    71.539  
 159.0    159.0    16.0    3.0    155.0    0.0    999.0    999.0    75.937    4.743    75.937    76.441    80.162    82.68  
 18.0    18.0    16.0    3.0    15.0    0.0    999.0    999.0    87.57    4.735    87.57    88.074    91.787    94.305  
 201.0    209.0    16.0    3.0    205.0    1.0    999.0    999.0    98.265    4.732    98.265    98.769    102.478    104.997  
 261.0    256.0    16.0    3.0    265.0    1.0    999.0    999.0    109.426    4.745    109.426    109.93    113.653    116.171  
 227.0    234.0    16.0    3.0    225.0    1.0    999.0    999.0    120.111    4.735    120.111    120.614    124.327    126.845  
 326.0    320.0    16.0    3.0    325.0    1.0    999.0    999.0    131.725    4.745    131.725    132.228    135.952    138.47  
 187.0    192.0    16.0    3.0    185.0    1.0    999.0    999.0    143.444    4.735    143.444    143.947    147.661    150.178  
 144.0    144.0    16.0    3.0    145.0    0.0    999.0    999.0    154.401    4.736    154.401    154.906    158.619    161.137  
 178.0    178.0    16.0    3.0    175.0    0.0    999.0    999.0    164.816    4.745    164.816    165.32    169.043    171.561  
 318.0    328.0    16.0    3.0    315.0    1.0    999.0    999.0    176.321    4.732    176.321    176.825    180.534    183.053  
 29.0    29.0    16.0    3.0    25.0    0.0    999.0    999.0    186.381    4.745    186.381    186.884    190.609    193.126  
 258.0    248.0    16.0    3.0    255.0    1.0    999.0    999.0    197.167    4.734    197.167    197.671    201.383    203.901  
 193.0    198.0    16.0    3.0    195.0    1.0    999.0    999.0    208.311    4.731    208.311    208.815    212.524    215.042  
 288.0    295.0    16.0    3.0    285.0    1.0    999.0    999.0    219.65    4.734    219.65    220.154    223.866    226.385  
 34.0    34.0    16.0    3.0    35.0    0.0    999.0    999.0    231.424    4.735    231.424    231.928    235.641    238.159  
 89.0    89.0    16.0    3.0    85.0    0.0    999.0    999.0    242.879    4.739    242.879    243.382    247.099    249.618  
 303.0    295.0    16.0    3.0    305.0    1.0    999.0    999.0    254.567    4.742    254.567    255.071    258.791    261.309  
 139.0    139.0    16.0    3.0    135.0    0.0    999.0    999.0    265.878    4.74    265.878    266.381    270.099    272.618  
 62.0    62.0    16.0    3.0    65.0    0.0    999.0    999.0    275.746    4.745    275.746    276.25    279.973    282.491  
 342.0    332.0    16.0    3.0    345.0    1.0    999.0    999.0    286.872    4.745    286.872    287.376    291.098    293.616  
 47.0    47.0    16.0    3.0    45.0    0.0    999.0    999.0    298.225    4.733    298.225    298.728    302.439    304.957  
 277.0    286.0    16.0    3.0    275.0    1.0    999.0    999.0    308.826    4.739    308.826    309.33    313.047    315.565  
 98.0    98.0    16.0    3.0    95.0    0.0    999.0    999.0    318.834    4.738    318.834    319.339    323.054    325.572  
 8.0    8.0    16.0    3.0    5.0    0.0    999.0    999.0    329.171    4.743    329.171    329.675    333.395    335.914  
 219.0    213.0    16.0    3.0    215.0    1.0    999.0    999.0    340.272    4.733    340.272    340.776    344.486    347.005  
 112.0    112.0    16.0    3.0    115.0    0.0    999.0    999.0    350.833    4.745    350.833    351.338    355.061    357.579  
 109.0    109.0    16.0    3.0    105.0    0.0    999.0    999.0    361.728    4.743    361.728    362.231    365.952    368.47  
 238.0    232.0    16.0    3.0    235.0    1.0    999.0    999.0    371.68    4.748    371.68    372.184    375.909    378.428  
 56.0    56.0    16.0    3.0    55.0    0.0    999.0    999.0    382.177    4.742    382.177    382.681    386.4    388.919  
 332.0    341.0    16.0    3.0    335.0    1.0    999.0    999.0    393.237    4.739    393.237    393.741    397.458    399.976  
 78.0    78.0    16.0    3.0    75.0    0.0    999.0    999.0    404.517    4.733    404.517    405.021    408.733    411.25  
 248.0    240.0    16.0    3.0    245.0    1.0    999.0    999.0    415.463    4.745    415.463    415.967    419.691    422.208  
 162.0    162.0    16.0    3.0    165.0    0.0    999.0    999.0    426.962    4.738    426.962    427.467    431.182    433.7  
 356.0    351.0    16.0    3.0    355.0    1.0    999.0    999.0    438.002    4.74    438.002    438.506    442.223    444.742  
 51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274    51.274  
