 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44    45.44  
 1.0    16.0    144.0    102.0    134.0    97.0    1.0    0.0    999.0    47.666    47.666    47.898    48.229    51.4    51.4    0.0  
 2.0    16.0    144.0    102.0    134.0    97.0    1.0    0.0    999.0    47.666    47.666    53.502    53.833    57.004    57.004    0.0  
 1.0    16.0    213.0    196.0    205.0    200.0    1.0    0.0    999.0    63.046    63.046    63.275    63.607    66.778    66.778    0.0  
 2.0    16.0    213.0    196.0    205.0    200.0    -1.0    0.0    999.0    63.046    63.046    69.58    70.064    73.083    73.083    0.0  
 1.0    16.0    67.0    47.0    71.0    37.0    1.0    0.0    999.0    79.045    79.045    79.504    79.836    83.007    83.007    0.0  
 2.0    16.0    67.0    47.0    71.0    37.0    -1.0    0.0    999.0    79.045    79.045    86.276    86.607    89.779    89.779    0.0  
 1.0    16.0    115.0    142.0    114.0    140.0    1.0    0.0    999.0    95.06    95.06    95.516    95.983    99.018    99.018    0.0  
 2.0    16.0    115.0    142.0    114.0    140.0    1.0    0.0    999.0    95.06    95.06    101.587    101.918    105.089    105.089    0.0  
 1.0    16.0    290.0    306.0    288.0    315.0    -1.0    0.0    999.0    110.672    110.672    110.894    111.225    114.396    114.396    0.0  
 2.0    16.0    290.0    306.0    288.0    315.0    1.0    0.0    999.0    110.672    110.672    116.264    116.731    119.766    119.766    0.0  
 1.0    16.0    311.0    321.0    313.0    327.0    1.0    0.0    999.0    126.102    126.102    126.571    126.904    130.075    130.075    0.0  
 2.0    16.0    311.0    321.0    313.0    327.0    1.0    0.0    999.0    126.102    126.102    132.643    132.974    136.145    136.145    0.0  
 1.0    16.0    318.0    314.0    324.0    316.0    1.0    0.0    999.0    141.467    141.467    141.932    142.264    145.435    145.435    0.0  
 2.0    16.0    318.0    314.0    324.0    316.0    1.0    0.0    999.0    141.467    141.467    148.704    149.188    152.207    152.207    0.0  
 1.0    16.0    134.0    118.0    143.0    110.0    -1.0    0.0    999.0    156.948    156.948    157.411    157.877    160.913    160.913    0.0  
 2.0    16.0    134.0    118.0    143.0    110.0    1.0    0.0    999.0    156.948    156.948    162.547    162.879    166.05    166.05    0.0  
 1.0    16.0    229.0    232.0    235.0    229.0    -1.0    0.0    999.0    172.966    172.966    173.189    173.52    176.691    176.691    0.0  
 2.0    16.0    229.0    232.0    235.0    229.0    1.0    0.0    999.0    172.966    172.966    178.357    178.841    181.86    181.86    0.0  
 1.0    16.0    46.0    30.0    36.0    22.0    -1.0    0.0    999.0    188.949    188.949    189.417    189.749    192.92    192.92    0.0  
 2.0    16.0    46.0    30.0    36.0    22.0    -1.0    0.0    999.0    188.949    188.949    196.205    196.687    199.708    199.708    0.0  
 1.0    16.0    105.0    107.0    114.0    101.0    -1.0    0.0    999.0    204.494    204.494    204.745    205.227    208.248    208.248    0.0  
