 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 59.0    59.0    14.0    3.0    55.0    0.0    1.0    1.0    46.473    4.742    46.473    46.977    50.696    52.184  
 219.0    212.0    14.0    3.0    215.0    1.0    0.0    1.0    56.747    4.742    56.747    57.251    60.97    62.042  
 153.0    153.0    14.0    3.0    155.0    0.0    1.0    1.0    66.757    4.738    66.757    67.26    70.978    73.331  
 23.0    23.0    14.0    3.0    25.0    0.0    0.0    0.0    77.158    4.746    77.158    77.661    81.385    82.972  
 88.0    88.0    14.0    3.0    85.0    0.0    0.0    0.0    88.727    4.735    88.727    89.231    92.943    94.563  
 333.0    341.0    14.0    3.0    335.0    1.0    1.0    0.0    100.335    4.736    100.335    100.839    104.552    106.238  
 69.0    69.0    14.0    3.0    65.0    0.0    0.0    0.0    112.024    4.738    112.024    112.528    116.244    117.563  
 307.0    300.0    14.0    3.0    305.0    1.0    0.0    1.0    121.964    4.738    121.964    122.467    126.184    127.87  
 311.0    305.0    14.0    3.0    315.0    1.0    1.0    0.0    131.805    4.739    131.805    132.309    136.025    137.344  
 147.0    147.0    14.0    3.0    145.0    0.0    0.0    0.0    142.806    4.745    142.806    143.309    147.033    148.119  
 198.0    191.0    14.0    3.0    195.0    1.0    0.0    1.0    154.494    4.732    154.494    154.998    158.708    160.294  
 163.0    163.0    14.0    3.0    165.0    0.0    0.0    0.0    164.569    4.731    164.569    165.072    168.782    169.817  
 46.0    46.0    14.0    3.0    45.0    0.0    0.0    0.0    174.803    4.738    174.803    175.307    179.023    181.009  
 249.0    241.0    14.0    3.0    245.0    1.0    999.0    999.0    185.143    4.738    185.143    185.647    189.364    191.881  
 96.0    96.0    14.0    3.0    95.0    0.0    0.0    0.0    195.201    4.738    195.201    195.704    199.42    200.39  
 112.0    112.0    14.0    3.0    115.0    0.0    1.0    1.0    206.741    4.74    206.741    207.246    210.963    212.782  
 138.0    138.0    14.0    3.0    135.0    0.0    0.0    0.0    217.843    4.746    217.843    218.347    222.07    223.407  
 282.0    289.0    14.0    3.0    285.0    1.0    0.0    1.0    228.202    4.744    228.202    228.707    232.428    234.181  
 171.0    171.0    14.0    3.0    175.0    0.0    1.0    1.0    239.618    4.737    239.618    240.121    243.836    245.439  
 326.0    316.0    14.0    3.0    325.0    1.0    1.0    0.0    250.037    4.742    250.037    250.542    254.261    255.396  
 8.0    8.0    14.0    3.0    5.0    0.0    1.0    1.0    261.411    4.744    261.411    261.914    265.636    266.905  
 129.0    129.0    14.0    3.0    125.0    0.0    0.0    0.0    272.717    4.745    272.717    273.22    276.944    278.813  
 182.0    189.0    14.0    3.0    185.0    1.0    1.0    0.0    282.874    4.746    282.874    283.378    287.101    288.821  
 349.0    355.0    14.0    3.0    345.0    1.0    1.0    0.0    292.841    4.735    292.841    293.345    297.059    298.662  
 72.0    72.0    14.0    3.0    75.0    0.0    0.0    0.0    304.33    4.739    304.33    304.834    308.55    310.003  
 268.0    278.0    14.0    3.0    265.0    1.0    1.0    0.0    315.591    4.735    315.591    316.095    319.808    320.927  
 279.0    271.0    14.0    3.0    275.0    1.0    1.0    0.0    327.159    4.742    327.159    327.663    331.383    332.569  
 108.0    108.0    14.0    3.0    105.0    0.0    0.0    0.0    337.264    4.745    337.264    337.768    341.491    342.827  
 293.0    299.0    14.0    3.0    295.0    1.0    1.0    0.0    348.242    4.741    348.242    348.745    352.465    354.135  
 239.0    234.0    14.0    3.0    235.0    1.0    0.0    1.0    359.365    4.742    359.365    359.869    363.59    364.892  
 202.0    212.0    14.0    3.0    205.0    1.0    0.0    1.0    369.681    4.734    369.681    370.185    373.898    375.701  
 253.0    245.0    14.0    3.0    255.0    1.0    1.0    0.0    379.919    4.737    379.919    380.424    384.138    385.291  
 18.0    18.0    14.0    3.0    15.0    0.0    1.0    1.0    390.58    4.734    390.58    391.084    394.796    396.282  
 33.0    33.0    14.0    3.0    35.0    0.0    0.0    0.0    401.978    4.744    401.978    402.481    406.204    407.39  
 227.0    217.0    14.0    3.0    225.0    1.0    0.0    1.0    411.956    4.74    411.956    412.46    416.179    417.33  
 359.0    349.0    14.0    3.0    355.0    1.0    999.0    999.0    423.528    4.743    423.528    424.032    427.753    430.271  
 42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657    42.657  
