 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 199.0    199.0    14.0    3.0    195.0    0.0    1.0    1.0    50.031    4.734    50.031    50.535    54.247    56.268  
 153.0    144.0    14.0    3.0    155.0    1.0    1.0    0.0    60.458    4.748    60.458    60.962    64.688    65.857  
 93.0    103.0    14.0    3.0    95.0    1.0    1.0    0.0    71.969    4.744    71.969    72.473    76.196    77.982  
 2.0    8.0    14.0    3.0    5.0    1.0    0.0    1.0    83.163    4.742    83.163    83.667    87.387    89.043  
 61.0    53.0    14.0    3.0    65.0    1.0    1.0    0.0    94.395    4.735    94.395    94.899    98.612    99.799  
 337.0    337.0    14.0    3.0    335.0    0.0    0.0    0.0    105.833    4.739    105.833    106.337    110.054    111.54  
 347.0    347.0    14.0    3.0    345.0    0.0    0.0    0.0    116.096    4.733    116.096    116.6    120.311    121.197  
 243.0    243.0    14.0    3.0    245.0    0.0    0.0    0.0    127.002    4.735    127.002    127.506    131.22    132.222  
 101.0    94.0    14.0    3.0    105.0    1.0    1.0    0.0    137.63    4.732    137.63    138.134    141.844    143.296  
 267.0    267.0    14.0    3.0    265.0    0.0    0.0    0.0    148.676    4.744    148.676    149.18    152.902    154.238  
 278.0    278.0    14.0    3.0    275.0    0.0    0.0    0.0    159.092    4.735    159.092    159.596    163.309    164.395  
 318.0    318.0    14.0    3.0    315.0    0.0    1.0    1.0    169.441    4.744    169.441    169.945    173.667    174.903  
 231.0    231.0    14.0    3.0    235.0    0.0    0.0    0.0    179.598    4.745    179.598    180.101    183.824    185.543  
 217.0    217.0    14.0    3.0    215.0    0.0    0.0    0.0    189.495    4.737    189.495    189.999    193.715    194.733  
 59.0    67.0    14.0    3.0    55.0    1.0    1.0    0.0    200.476    4.748    200.476    200.98    204.706    206.026  
 301.0    301.0    14.0    3.0    305.0    0.0    0.0    0.0    211.707    4.742    211.707    212.21    215.93    216.967  
 258.0    258.0    14.0    3.0    255.0    0.0    0.0    0.0    221.669    4.738    221.669    222.172    225.888    227.257  
 26.0    36.0    14.0    3.0    25.0    1.0    1.0    0.0    231.739    4.742    231.739    232.244    235.962    237.281  
 291.0    291.0    14.0    3.0    295.0    0.0    0.0    0.0    242.613    4.742    242.613    243.116    246.837    248.756  
 327.0    327.0    14.0    3.0    325.0    0.0    1.0    1.0    252.848    4.747    252.848    253.351    257.077    258.38  
 128.0    133.0    14.0    3.0    125.0    1.0    0.0    1.0    262.669    4.734    262.669    263.174    266.884    267.904  
 134.0    144.0    14.0    3.0    135.0    1.0    999.0    999.0    272.855    4.738    272.855    273.358    277.075    279.593  
 204.0    204.0    14.0    3.0    205.0    0.0    0.0    0.0    282.933    4.735    282.933    283.436    287.149    288.218  
 168.0    175.0    14.0    3.0    165.0    1.0    1.0    0.0    293.27    4.738    293.27    293.774    297.49    298.643  
 223.0    223.0    14.0    3.0    225.0    0.0    0.0    0.0    303.86    4.737    303.86    304.364    308.081    309.183  
 181.0    181.0    14.0    3.0    185.0    0.0    0.0    0.0    313.772    4.734    313.772    314.277    317.988    320.258  
 113.0    120.0    14.0    3.0    115.0    1.0    0.0    1.0    324.208    4.739    324.208    324.712    328.429    329.531  
 287.0    287.0    14.0    3.0    285.0    0.0    0.0    0.0    334.66    4.745    334.66    335.164    338.887    341.023  
 71.0    66.0    14.0    3.0    75.0    1.0    0.0    1.0    346.238    4.741    346.238    346.742    350.462    352.081  
 178.0    184.0    14.0    3.0    175.0    1.0    1.0    0.0    356.609    4.745    356.609    357.112    360.836    361.838  
 17.0    9.0    14.0    3.0    15.0    1.0    1.0    0.0    367.667    4.745    367.667    368.171    371.894    374.181  
 41.0    31.0    14.0    3.0    45.0    1.0    1.0    0.0    377.506    4.73    377.506    378.008    381.718    382.67  
 33.0    39.0    14.0    3.0    35.0    1.0    0.0    1.0    388.34    4.737    388.34    388.844    392.559    394.829  
 146.0    137.0    14.0    3.0    145.0    1.0    1.0    0.0    399.93    4.738    399.93    400.434    404.151    405.137  
 84.0    77.0    14.0    3.0    85.0    1.0    1.0    0.0    410.672    4.737    410.672    411.176    414.892    416.128  
 356.0    356.0    14.0    3.0    355.0    0.0    0.0    0.0    422.013    4.738    422.013    422.518    426.233    427.52  
 46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874    46.874  
