 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    7.0    5.0    229.0    21.0    304.0    136.0    33.6    324.7    93.0    3.0    1.0    0.0    1.0    222.0    7.0    7.0    7.0    21.0    33.6    1.0    304.0    324.7    4.0    229.0    3.0    136.0    2.0    46.631    47.673    55.031    60.385    5.016    65.4    14.26  
 1.0    7.0    12.0    114.0    293.0    228.0    128.4    321.1    43.0    14.4    2.0    2.0    1.0    0.0    110.0    4.0    4.0    -4.0    114.0    128.4    2.0    293.0    321.1    4.0    228.0    3.0    43.0    1.0    66.038    74.408    67.051    86.762    5.024    91.786    21.223  
 1.0    0.2    12.0    216.0    51.0    155.0    201.4    21.8    330.0    14.6    3.0    2.0    -1.0    1.0    214.0    2.0    2.0    2.0    216.0    201.4    3.0    51.0    21.8    1.0    155.0    2.0    330.0    4.0    92.424    93.992    93.435    106.346    5.021    111.367    14.421  
 3.0    7.0    5.0    302.0    152.0    61.0    222.0    132.6    31.7    80.0    4.0    1.0    0.0    1.0    300.0    2.0    2.0    2.0    152.0    132.6    2.0    61.0    31.7    1.0    302.0    4.0    222.0    3.0    112.005    113.018    120.373    125.727    5.021    130.748    14.221  
 3.0    0.2    12.0    143.0    320.0    29.0    212.0    330.2    52.7    69.0    2.0    2.0    0.0    0.0    157.0    -14.0    14.0    14.0    320.0    330.2    4.0    29.0    52.7    1.0    143.0    2.0    212.0    3.0    131.385    132.954    132.398    145.308    5.021    150.329    14.421  
 3.0    7.0    12.0    209.0    50.0    123.0    306.0    62.1    151.7    97.0    3.0    2.0    0.0    0.0    218.0    -9.0    9.0    9.0    50.0    62.1    1.0    123.0    151.7    2.0    209.0    3.0    306.0    4.0    150.966    159.334    151.979    171.689    5.025    176.714    21.221  
 1.0    0.2    12.0    47.0    159.0    339.0    36.2    131.9    233.0    10.8    1.0    2.0    -1.0    1.0    41.0    6.0    6.0    6.0    47.0    36.2    1.0    159.0    131.9    2.0    339.0    4.0    233.0    3.0    177.351    178.92    178.364    191.274    5.021    196.295    14.421  
 1.0    0.2    11.8    322.0    62.0    155.0    308.8    33.4    226.0    13.2    4.0    1.0    -1.0    0.0    335.0    -13.0    13.0    -13.0    322.0    308.8    4.0    62.0    33.4    1.0    155.0    2.0    226.0    3.0    196.933    197.944    198.5    210.654    5.022    215.676    14.22  
 3.0    0.2    11.8    300.0    225.0    41.0    150.0    242.5    69.1    150.0    4.0    1.0    0.0    0.0    312.0    -12.0    12.0    -12.0    225.0    242.5    3.0    41.0    69.1    1.0    300.0    4.0    150.0    2.0    216.314    217.326    217.881    230.036    5.021    235.057    14.221  
 3.0    7.0    12.0    203.0    34.0    115.0    296.0    45.8    139.4    93.0    3.0    2.0    0.0    1.0    216.0    -13.0    13.0    13.0    34.0    45.8    1.0    115.0    139.4    2.0    203.0    3.0    296.0    4.0    235.694    244.063    236.706    256.417    5.026    261.442    21.221  
 3.0    0.2    11.8    246.0    335.0    55.0    137.0    318.2    31.0    109.0    3.0    1.0    0.0    1.0    235.0    11.0    11.0    11.0    335.0    318.2    4.0    55.0    31.0    1.0    246.0    3.0    137.0    2.0    262.08    263.091    263.646    275.801    5.023    280.823    14.22  
 3.0    7.0    5.0    55.0    309.0    228.0    130.0    291.1    202.4    75.0    1.0    1.0    0.0    0.0    57.0    -2.0    2.0    2.0    309.0    291.1    4.0    228.0    202.4    3.0    55.0    1.0    130.0    2.0    281.461    282.473    289.828    295.184    5.02    300.204    14.222  
 3.0    7.0    5.0    35.0    216.0    327.0    131.0    202.5    298.6    96.0    1.0    1.0    0.0    1.0    38.0    -3.0    3.0    3.0    216.0    202.5    3.0    327.0    298.6    4.0    35.0    1.0    131.0    2.0    300.841    301.853    309.21    314.563    5.021    319.585    14.22  
 3.0    7.0    12.0    116.0    310.0    45.0    203.0    322.5    65.1    87.0    2.0    2.0    0.0    0.0    123.0    -7.0    7.0    7.0    310.0    322.5    4.0    45.0    65.1    1.0    116.0    2.0    203.0    3.0    320.222    328.592    321.236    340.946    5.025    345.971    21.222  
 3.0    7.0    12.0    205.0    298.0    22.0    155.0    313.5    47.4    50.0    3.0    2.0    0.0    1.0    210.0    -5.0    5.0    -5.0    298.0    313.5    4.0    22.0    47.4    1.0    205.0    3.0    155.0    2.0    346.609    354.978    347.621    367.332    5.024    372.356    21.223  
 3.0    7.0    5.0    205.0    28.0    119.0    311.0    47.7    146.4    106.0    3.0    1.0    0.0    0.0    209.0    -4.0    4.0    4.0    28.0    47.7    1.0    119.0    146.4    2.0    205.0    3.0    311.0    4.0    372.995    374.006    381.361    386.714    5.023    391.737    14.22  
 3.0    0.2    11.8    337.0    224.0    34.0    145.0    235.5    60.3    168.0    4.0    1.0    0.0    0.0    326.0    11.0    11.0    -11.0    224.0    235.5    3.0    34.0    60.3    1.0    337.0    4.0    145.0    2.0    392.374    393.386    393.941    406.096    5.022    411.118    14.22  
 1.0    7.0    5.0    52.0    290.0    220.0    68.8    310.7    111.0    16.8    1.0    1.0    1.0    0.0    62.0    -10.0    10.0    10.0    52.0    68.8    1.0    290.0    310.7    4.0    220.0    3.0    111.0    2.0    411.756    412.768    420.124    425.478    5.02    430.499    14.221  
 1.0    7.0    5.0    241.0    61.0    338.0    229.0    36.0    120.0    12.0    3.0    1.0    -1.0    1.0    244.0    -3.0    3.0    -3.0    241.0    229.0    3.0    61.0    36.0    1.0    338.0    4.0    120.0    2.0    431.136    432.148    439.504    444.858    5.021    449.879    14.22  
 1.0    7.0    12.0    296.0    204.0    144.0    308.4    230.9    51.0    12.4    4.0    2.0    1.0    1.0    301.0    -5.0    5.0    5.0    296.0    308.4    4.0    204.0    230.9    3.0    144.0    2.0    51.0    1.0    450.517    458.885    451.529    471.239    5.026    476.265    21.221  
 3.0    0.2    12.0    55.0    223.0    301.0    125.0    242.3    327.3    70.0    1.0    2.0    0.0    1.0    56.0    -1.0    1.0    1.0    223.0    242.3    3.0    301.0    327.3    4.0    55.0    1.0    125.0    2.0    476.903    478.472    477.916    490.827    5.019    495.846    14.423  
 3.0    0.2    12.0    151.0    243.0    316.0    69.0    225.7    292.8    82.0    2.0    2.0    0.0    0.0    154.0    -3.0    3.0    -3.0    243.0    225.7    3.0    316.0    292.8    4.0    151.0    2.0    69.0    1.0    496.484    498.052    497.496    510.406    5.021    515.427    14.422  
 1.0    7.0    5.0    239.0    57.0    328.0    228.0    33.6    116.0    11.0    3.0    1.0    -1.0    1.0    237.0    2.0    2.0    2.0    239.0    228.0    3.0    57.0    33.6    1.0    328.0    4.0    116.0    2.0    516.064    517.078    524.434    529.787    5.02    534.807    14.221  
 1.0    7.0    12.0    301.0    118.0    244.0    315.3    140.1    42.0    14.3    4.0    2.0    1.0    1.0    302.0    -1.0    1.0    1.0    301.0    315.3    4.0    118.0    140.1    2.0    244.0    3.0    42.0    1.0    535.445    543.815    536.458    556.169    5.024    561.193    21.223  
 3.0    0.2    12.0    243.0    137.0    308.0    57.0    153.9    335.4    174.0    3.0    2.0    0.0    0.0    235.0    8.0    8.0    -8.0    137.0    153.9    2.0    308.0    335.4    4.0    243.0    3.0    57.0    1.0    561.831    563.4    562.844    575.753    5.021    580.774    14.421  
 1.0    7.0    12.0    158.0    58.0    338.0    143.0    38.0    201.0    15.0    2.0    2.0    -1.0    0.0    158.0    0.0    0.0    0.0    158.0    143.0    2.0    58.0    38.0    1.0    338.0    4.0    201.0    3.0    581.412    589.782    582.425    602.137    5.023    607.16    21.225  
 1.0    7.0    12.0    218.0    34.0    136.0    231.5    54.8    337.0    13.5    3.0    2.0    1.0    1.0    232.0    -14.0    14.0    14.0    218.0    231.5    3.0    34.0    54.8    1.0    136.0    2.0    337.0    4.0    607.798    616.166    608.81    628.52    5.026    633.546    21.221  
 46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004    46.004  
