 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 197.0    197.0    14.0    3.0    195.0    0.0    1.0    1.0    47.369    4.744    47.369    47.873    51.596    53.668  
 91.0    86.0    14.0    3.0    95.0    1.0    0.0    1.0    58.524    4.732    58.524    59.028    62.738    63.743  
 276.0    276.0    14.0    3.0    275.0    0.0    1.0    1.0    70.176    4.738    70.176    70.68    74.396    76.282  
 323.0    323.0    14.0    3.0    325.0    0.0    1.0    1.0    80.217    4.737    80.217    80.72    84.436    85.706  
 37.0    29.0    14.0    3.0    35.0    1.0    1.0    0.0    91.818    4.746    91.818    92.322    96.044    97.331  
 122.0    113.0    14.0    3.0    125.0    1.0    0.0    1.0    102.177    4.744    102.177    102.681    106.403    107.906  
 223.0    223.0    14.0    3.0    225.0    0.0    1.0    1.0    113.035    4.744    113.035    113.539    117.26    118.497  
 287.0    287.0    14.0    3.0    285.0    0.0    1.0    1.0    123.332    4.738    123.332    123.836    127.551    128.537  
 353.0    353.0    14.0    3.0    355.0    0.0    1.0    1.0    135.003    4.742    135.003    135.506    139.226    140.829  
 171.0    162.0    14.0    3.0    175.0    1.0    0.0    1.0    145.577    4.742    145.577    146.081    149.801    150.954  
 244.0    244.0    14.0    3.0    245.0    0.0    1.0    1.0    155.852    4.74    155.852    156.357    160.075    161.644  
 74.0    69.0    14.0    3.0    75.0    1.0    0.0    1.0    167.376    4.742    167.376    167.879    171.6    173.92  
 167.0    159.0    14.0    3.0    165.0    1.0    0.0    1.0    177.772    4.736    177.772    178.275    181.99    183.227  
 101.0    94.0    14.0    3.0    105.0    1.0    0.0    1.0    188.08    4.737    188.08    188.583    192.298    193.868  
 339.0    339.0    14.0    3.0    335.0    0.0    1.0    1.0    198.23    4.744    198.23    198.734    202.455    204.141  
 41.0    33.0    14.0    3.0    45.0    1.0    0.0    1.0    209.216    4.732    209.216    209.72    213.431    215.6  
 342.0    342.0    14.0    3.0    345.0    0.0    1.0    1.0    219.472    4.733    219.472    219.975    223.688    225.124  
 142.0    147.0    14.0    3.0    145.0    1.0    1.0    0.0    231.029    4.735    231.029    231.534    235.246    236.799  
 212.0    212.0    14.0    3.0    215.0    0.0    1.0    1.0    242.226    4.746    242.226    242.731    246.454    247.874  
 57.0    49.0    14.0    3.0    55.0    1.0    1.0    0.0    253.375    4.738    253.375    253.879    257.596    258.932  
 182.0    182.0    14.0    3.0    185.0    0.0    1.0    1.0    263.596    4.742    263.596    264.1    267.819    269.072  
 62.0    54.0    14.0    3.0    65.0    1.0    0.0    1.0    275.071    4.742    275.071    275.575    279.295    280.931  
 304.0    304.0    14.0    3.0    305.0    0.0    1.0    1.0    285.657    4.748    285.657    286.161    289.885    291.038  
 204.0    204.0    14.0    3.0    205.0    0.0    1.0    1.0    296.977    4.735    296.977    297.481    301.194    302.13  
 231.0    231.0    14.0    3.0    235.0    0.0    1.0    1.0    308.446    4.741    308.446    308.95    312.669    313.871  
 317.0    317.0    14.0    3.0    315.0    0.0    1.0    1.0    318.652    4.743    318.652    319.156    322.877    324.379  
 86.0    96.0    14.0    3.0    85.0    1.0    0.0    1.0    328.727    4.741    328.727    329.231    332.95    334.17  
 114.0    122.0    14.0    3.0    115.0    1.0    0.0    1.0    340.001    4.742    340.001    340.505    344.225    345.261  
 139.0    149.0    14.0    3.0    135.0    1.0    0.0    1.0    350.727    4.741    350.727    351.231    354.949    356.102  
 23.0    33.0    14.0    3.0    25.0    1.0    0.0    1.0    361.701    4.742    361.701    362.204    365.924    367.076  
 16.0    11.0    14.0    3.0    15.0    1.0    1.0    0.0    371.875    4.74    371.875    372.379    376.098    377.184  
 253.0    253.0    14.0    3.0    255.0    0.0    0.0    0.0    382.0    4.741    382.0    382.504    386.222    387.324  
 298.0    298.0    14.0    3.0    295.0    0.0    1.0    1.0    392.264    4.734    392.264    392.768    396.479    397.632  
 7.0    0.0    14.0    3.0    5.0    1.0    0.0    1.0    403.901    4.738    403.901    404.404    408.122    409.674  
 266.0    266.0    14.0    3.0    265.0    0.0    1.0    1.0    414.392    4.739    414.393    414.896    418.612    420.032  
 153.0    159.0    14.0    3.0    155.0    1.0    0.0    1.0    425.513    4.742    425.513    426.018    429.737    431.106  
 44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074    44.074  
