 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 16.0    16.0    14.0    3.0    15.0    0.0    0.0    0.0    51.862    4.739    51.862    52.367    56.082    57.07  
 334.0    344.0    14.0    3.0    335.0    1.0    1.0    0.0    62.931    4.744    62.931    63.434    67.157    68.429  
 262.0    272.0    14.0    3.0    265.0    1.0    0.0    1.0    73.114    4.734    73.114    73.618    77.331    78.734  
 241.0    247.0    14.0    3.0    245.0    1.0    0.0    1.0    84.532    4.742    84.532    85.036    88.756    90.675  
 302.0    296.0    14.0    3.0    305.0    1.0    0.0    1.0    94.947    4.734    94.947    95.45    99.163    100.867  
 233.0    227.0    14.0    3.0    235.0    1.0    1.0    0.0    106.215    4.742    106.215    106.718    110.438    111.391  
 69.0    69.0    14.0    3.0    65.0    0.0    0.0    0.0    116.22    4.744    116.22    116.724    120.446    121.498  
 186.0    179.0    14.0    3.0    185.0    1.0    1.0    0.0    127.577    4.746    127.577    128.081    131.804    132.856  
 57.0    57.0    14.0    3.0    55.0    0.0    0.0    0.0    137.394    4.735    137.394    137.898    141.611    143.113  
 291.0    298.0    14.0    3.0    295.0    1.0    1.0    0.0    148.862    4.741    148.862    149.366    153.086    154.171  
 4.0    4.0    14.0    3.0    5.0    0.0    0.0    0.0    159.407    4.737    159.407    159.911    163.627    165.797  
 219.0    210.0    14.0    3.0    215.0    1.0    0.0    1.0    170.307    4.746    170.307    170.81    174.535    175.438  
 143.0    143.0    14.0    3.0    145.0    0.0    0.0    0.0    180.675    4.735    180.675    181.178    184.892    185.895  
 354.0    360.0    14.0    3.0    355.0    1.0    1.0    0.0    191.434    4.734    191.434    191.938    195.65    196.836  
 41.0    41.0    14.0    3.0    45.0    0.0    0.0    0.0    201.201    4.741    201.201    201.705    205.424    206.593  
 96.0    96.0    14.0    3.0    95.0    0.0    0.0    0.0    212.475    4.742    212.475    212.98    216.699    217.567  
 124.0    124.0    14.0    3.0    125.0    0.0    1.0    1.0    224.17    4.739    224.17    224.674    228.391    229.561  
 254.0    260.0    14.0    3.0    255.0    1.0    1.0    0.0    235.211    4.738    235.211    235.716    239.431    240.434  
 194.0    187.0    14.0    3.0    195.0    1.0    1.0    0.0    245.172    4.736    245.172    245.676    249.389    250.559  
 84.0    84.0    14.0    3.0    85.0    0.0    1.0    1.0    255.089    4.742    255.089    255.593    259.313    260.315  
 229.0    224.0    14.0    3.0    225.0    1.0    0.0    1.0    265.864    4.743    265.864    266.367    270.087    271.473  
 277.0    285.0    14.0    3.0    275.0    1.0    1.0    0.0    276.518    4.746    276.518    277.021    280.745    281.848  
 33.0    33.0    14.0    3.0    35.0    0.0    1.0    1.0    286.906    4.731    286.906    287.409    291.119    292.189  
 138.0    138.0    14.0    3.0    135.0    0.0    0.0    0.0    297.871    4.741    297.871    298.375    302.094    303.514  
 319.0    329.0    14.0    3.0    315.0    1.0    0.0    1.0    307.976    4.744    307.976    308.48    312.201    313.337  
 162.0    162.0    14.0    3.0    165.0    0.0    0.0    0.0    319.083    4.744    319.083    319.587    323.309    325.212  
 22.0    22.0    14.0    3.0    25.0    0.0    1.0    1.0    329.31    4.742    329.31    329.814    333.533    335.019  
 111.0    111.0    14.0    3.0    115.0    0.0    1.0    1.0    340.284    4.742    340.284    340.788    344.508    345.76  
 328.0    333.0    14.0    3.0    325.0    1.0    1.0    0.0    351.979    4.738    351.979    352.483    356.2    357.319  
 173.0    173.0    14.0    3.0    175.0    0.0    0.0    0.0    362.751    4.741    362.751    363.255    366.974    368.128  
 283.0    277.0    14.0    3.0    285.0    1.0    1.0    0.0    373.655    4.745    373.655    374.159    377.882    379.218  
 74.0    74.0    14.0    3.0    75.0    0.0    0.0    0.0    384.212    4.745    384.212    384.716    388.439    389.475  
 203.0    194.0    14.0    3.0    205.0    1.0    0.0    1.0    394.211    4.737    394.211    394.715    398.43    399.816  
 101.0    101.0    14.0    3.0    105.0    0.0    0.0    0.0    404.532    4.741    404.532    405.035    408.754    410.057  
 158.0    158.0    14.0    3.0    155.0    0.0    0.0    0.0    416.145    4.736    416.145    416.65    420.364    421.565  
 346.0    338.0    14.0    3.0    345.0    1.0    1.0    0.0    426.713    4.743    426.713    427.216    430.937    432.106  
 47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225    47.225  
