 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    0.2    12.0    291.0    218.0    122.0    58.0    229.1    145.7    127.0    4.0    2.0    0.0    0.0    282.0    9.0    9.0    -9.0    218.0    229.1    3.0    122.0    145.7    2.0    291.0    4.0    58.0    1.0    48.61    50.207    49.651    62.561    5.024    67.585    14.451  
 1.0    0.2    12.0    336.0    237.0    38.0    325.5    212.6    143.0    10.5    4.0    2.0    -1.0    1.0    347.0    -11.0    11.0    -11.0    336.0    325.5    4.0    237.0    212.6    3.0    38.0    1.0    143.0    2.0    68.223    69.79    69.234    82.142    5.023    87.166    14.419  
 1.0    7.0    12.0    218.0    142.0    327.0    205.8    116.9    60.0    12.2    3.0    2.0    -1.0    1.0    200.0    18.0    18.0    18.0    218.0    205.8    3.0    142.0    116.9    2.0    327.0    4.0    60.0    1.0    87.804    96.17    88.815    108.524    5.028    113.551    21.219  
 3.0    7.0    12.0    123.0    235.0    333.0    32.0    224.4    308.7    91.0    2.0    2.0    0.0    0.0    113.0    10.0    10.0    10.0    235.0    224.4    3.0    333.0    308.7    4.0    123.0    2.0    32.0    1.0    114.189    122.557    115.202    134.911    5.026    139.937    21.22  
 3.0    7.0    12.0    217.0    132.0    53.0    336.0    121.6    31.1    119.0    3.0    2.0    0.0    1.0    211.0    6.0    6.0    -6.0    132.0    121.6    2.0    53.0    31.1    1.0    217.0    3.0    336.0    4.0    140.574    148.942    141.586    161.298    5.025    166.323    21.222  
 3.0    0.2    12.0    293.0    63.0    141.0    226.0    50.9    120.3    67.0    4.0    2.0    0.0    0.0    288.0    5.0    5.0    5.0    63.0    50.9    1.0    141.0    120.3    2.0    293.0    4.0    226.0    3.0    166.96    168.528    167.972    180.883    5.021    185.904    14.421  
 1.0    0.2    12.0    145.0    306.0    235.0    159.3    334.2    25.0    14.3    2.0    2.0    1.0    0.0    169.0    -24.0    24.0    24.0    145.0    159.3    2.0    306.0    334.2    4.0    235.0    3.0    25.0    1.0    186.541    188.109    187.554    200.463    5.021    205.484    14.42  
 3.0    7.0    5.0    223.0    128.0    60.0    298.0    110.2    37.3    75.0    3.0    1.0    0.0    0.0    187.0    36.0    36.0    -36.0    128.0    110.2    2.0    60.0    37.3    1.0    223.0    3.0    298.0    4.0    206.121    207.134    214.489    219.844    5.021    224.865    14.221  
 1.0    0.2    11.8    305.0    133.0    227.0    291.8    112.3    68.0    13.2    4.0    1.0    -1.0    0.0    290.0    15.0    15.0    15.0    305.0    291.8    4.0    133.0    112.3    2.0    227.0    3.0    68.0    1.0    225.503    226.515    227.07    239.224    5.021    244.246    14.22  
 3.0    0.2    11.8    294.0    33.0    114.0    249.0    48.0    134.7    45.0    4.0    1.0    0.0    0.0    291.0    3.0    3.0    3.0    33.0    48.0    1.0    114.0    134.7    2.0    294.0    4.0    249.0    3.0    244.883    245.895    246.45    258.604    5.022    263.626    14.219  
 1.0    0.2    12.0    34.0    311.0    211.0    52.1    333.2    139.0    18.1    1.0    2.0    1.0    1.0    29.0    5.0    5.0    -5.0    34.0    52.1    1.0    311.0    333.2    4.0    211.0    3.0    139.0    2.0    264.265    265.833    265.277    278.187    5.02    283.207    14.422  
 1.0    7.0    5.0    51.0    244.0    158.0    39.5    221.6    337.0    11.5    1.0    1.0    -1.0    0.0    58.0    -7.0    7.0    -7.0    51.0    39.5    1.0    244.0    221.6    3.0    158.0    2.0    337.0    4.0    283.845    284.857    292.213    297.566    5.021    302.588    14.22  
 1.0    0.2    11.8    113.0    208.0    299.0    124.9    231.7    51.0    11.9    2.0    1.0    1.0    1.0    111.0    2.0    2.0    -2.0    113.0    124.9    2.0    208.0    231.7    3.0    299.0    4.0    51.0    1.0    303.226    304.239    304.794    316.948    5.02    321.969    14.221  
