 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    0.2    12.0    291.0    218.0    122.0    58.0    229.1    145.7    127.0    4.0    2.0    0.0    0.0    300.0    -9.0    9.0    9.0    218.0    229.1    3.0    122.0    145.7    2.0    291.0    4.0    58.0    1.0    42.005    43.6    43.044    55.952    5.028    60.98    14.447  
 1.0    0.2    12.0    336.0    237.0    38.0    325.5    212.6    143.0    10.5    4.0    2.0    -1.0    1.0    337.0    -1.0    1.0    -1.0    336.0    325.5    4.0    237.0    212.6    3.0    38.0    1.0    143.0    2.0    61.618    63.186    62.63    75.54    5.021    80.561    14.42  
 1.0    7.0    12.0    218.0    142.0    327.0    205.8    116.9    60.0    12.2    3.0    2.0    -1.0    1.0    209.0    9.0    9.0    9.0    218.0    205.8    3.0    142.0    116.9    2.0    327.0    4.0    60.0    1.0    81.198    89.566    82.21    101.919    5.028    106.947    21.219  
 3.0    7.0    12.0    123.0    235.0    333.0    32.0    224.4    308.7    91.0    2.0    2.0    0.0    0.0    118.0    5.0    5.0    5.0    235.0    224.4    3.0    333.0    308.7    4.0    123.0    2.0    32.0    1.0    107.585    115.954    108.598    128.308    5.025    133.332    21.222  
 3.0    7.0    12.0    217.0    132.0    53.0    336.0    121.6    31.1    119.0    3.0    2.0    0.0    1.0    233.0    -16.0    16.0    16.0    132.0    121.6    2.0    53.0    31.1    1.0    217.0    3.0    336.0    4.0    133.969    142.338    134.982    154.691    5.027    159.718    21.22  
 3.0    0.2    12.0    293.0    63.0    141.0    226.0    50.9    120.3    67.0    4.0    2.0    0.0    0.0    293.0    0.0    0.0    0.0    63.0    50.9    1.0    141.0    120.3    2.0    293.0    4.0    226.0    3.0    160.356    161.923    161.367    174.276    5.023    179.299    14.419  
 1.0    0.2    12.0    145.0    306.0    235.0    159.3    334.2    25.0    14.3    2.0    2.0    1.0    0.0    163.0    -18.0    18.0    18.0    145.0    159.3    2.0    306.0    334.2    4.0    235.0    3.0    25.0    1.0    179.936    181.502    180.947    193.856    5.024    198.88    14.418  
 3.0    7.0    5.0    223.0    128.0    60.0    298.0    110.2    37.3    75.0    3.0    1.0    0.0    0.0    242.0    -19.0    19.0    19.0    128.0    110.2    2.0    60.0    37.3    1.0    223.0    3.0    298.0    4.0    199.518    200.53    207.885    213.24    5.02    218.26    14.222  
 1.0    0.2    11.8    305.0    133.0    227.0    291.8    112.3    68.0    13.2    4.0    1.0    -1.0    0.0    296.0    9.0    9.0    9.0    305.0    291.8    4.0    133.0    112.3    2.0    227.0    3.0    68.0    1.0    218.898    219.909    220.464    232.617    5.024    237.641    14.218  
 3.0    0.2    11.8    294.0    33.0    114.0    249.0    48.0    134.7    45.0    4.0    1.0    0.0    0.0    299.0    -5.0    5.0    -5.0    33.0    48.0    1.0    114.0    134.7    2.0    294.0    4.0    249.0    3.0    238.278    239.289    239.845    252.0    5.022    257.022    14.219  
 1.0    0.2    12.0    34.0    311.0    211.0    52.1    333.2    139.0    18.1    1.0    2.0    1.0    1.0    19.0    15.0    15.0    -15.0    34.0    52.1    1.0    311.0    333.2    4.0    211.0    3.0    139.0    2.0    257.659    259.226    258.67    271.58    5.022    276.602    14.419  
 1.0    7.0    5.0    51.0    244.0    158.0    39.5    221.6    337.0    11.5    1.0    1.0    -1.0    0.0    27.0    24.0    24.0    -24.0    51.0    39.5    1.0    244.0    221.6    3.0    158.0    2.0    337.0    4.0    277.239    278.252    285.608    290.961    5.022    295.983    14.22  
 1.0    0.2    11.8    113.0    208.0    299.0    124.9    231.7    51.0    11.9    2.0    1.0    1.0    1.0    114.0    -1.0    1.0    1.0    113.0    124.9    2.0    208.0    231.7    3.0    299.0    4.0    51.0    1.0    296.62    297.632    298.187    310.342    5.022    315.364    14.22  
 3.0    0.2    12.0    220.0    314.0    62.0    119.0    297.1    33.6    101.0    3.0    2.0    0.0    1.0    244.0    -24.0    24.0    -24.0    314.0    297.1    4.0    62.0    33.6    1.0    220.0    3.0    119.0    2.0    316.002    317.569    317.014    329.923    5.022    334.945    14.42  
 1.0    0.2    11.8    212.0    25.0    323.0    223.4    52.9    111.0    11.4    3.0    1.0    1.0    0.0    221.0    -9.0    9.0    9.0    212.0    223.4    3.0    25.0    52.9    1.0    323.0    4.0    111.0    2.0    335.582    336.594    337.15    349.305    5.021    354.325    14.221  
 1.0    0.2    12.0    42.0    239.0    290.0    28.2    210.3    115.0    13.8    1.0    2.0    -1.0    1.0    34.0    8.0    8.0    8.0    42.0    28.2    1.0    239.0    210.3    3.0    290.0    4.0    115.0    2.0    354.964    356.53    355.975    368.884    5.023    373.906    14.419  
 1.0    7.0    5.0    59.0    304.0    216.0    69.3    327.5    135.0    10.3    1.0    1.0    1.0    0.0    67.0    -8.0    8.0    8.0    59.0    69.3    1.0    304.0    327.5    4.0    216.0    3.0    135.0    2.0    374.543    375.554    382.91    388.265    5.022    393.287    14.22  
 3.0    7.0    12.0    227.0    138.0    323.0    21.0    123.2    296.3    154.0    3.0    2.0    0.0    1.0    256.0    -29.0    29.0    29.0    138.0    123.2    2.0    323.0    296.3    4.0    227.0    3.0    21.0    1.0    393.924    402.291    394.935    414.646    5.027    419.672    21.22  
 3.0    0.2    12.0    46.0    316.0    206.0    141.0    326.2    231.9    95.0    1.0    2.0    0.0    0.0    21.0    25.0    25.0    -25.0    316.0    326.2    4.0    206.0    231.9    3.0    46.0    1.0    141.0    2.0    420.309    421.877    421.32    434.231    5.022    439.253    14.42  
 3.0    7.0    5.0    236.0    321.0    65.0    121.0    302.4    36.1    115.0    3.0    1.0    0.0    1.0    249.0    -13.0    13.0    -13.0    321.0    302.4    4.0    65.0    36.1    1.0    236.0    3.0    121.0    2.0    439.89    440.902    448.258    453.613    5.021    458.634    14.221  
 1.0    0.2    12.0    318.0    50.0    157.0    306.7    25.3    219.0    11.3    4.0    2.0    -1.0    0.0    270.0    48.0    48.0    -48.0    318.0    306.7    4.0    50.0    25.3    1.0    157.0    2.0    219.0    3.0    459.272    460.84    460.284    473.195    5.02    478.215    14.422  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385    41.385  
