 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158    64.158  
 1.0    14.0    144.0    102.0    134.0    97.0    1.0    1.0    0.0    67.145    67.145    67.413    67.896    70.915    70.915    72.083  
 2.0    14.0    144.0    102.0    134.0    97.0    1.0    1.0    0.0    67.145    67.145    72.969    73.436    76.471    76.471    77.487  
 1.0    14.0    213.0    196.0    205.0    200.0    1.0    1.0    0.0    83.236    83.236    83.693    84.025    87.196    87.196    88.597  
 2.0    14.0    213.0    196.0    205.0    200.0    -1.0    1.0    1.0    83.236    83.236    89.764    90.248    93.267    93.267    94.466  
 1.0    14.0    67.0    47.0    71.0    37.0    1.0    -1.0    1.0    98.71    98.71    99.171    99.502    102.674    102.674    103.922  
 2.0    14.0    67.0    47.0    71.0    37.0    -1.0    1.0    1.0    98.71    98.71    105.009    105.34    108.511    108.511    109.527  
 1.0    14.0    115.0    142.0    114.0    140.0    1.0    -1.0    1.0    114.279    114.279    114.499    114.983    118.002    118.002    119.434  
 2.0    14.0    115.0    142.0    114.0    140.0    1.0    0.0    999.0    114.279    114.279    120.618    121.102    124.121    124.121    0.0  
 1.0    14.0    290.0    306.0    288.0    315.0    -1.0    0.0    999.0    129.379    129.379    129.844    130.175    133.346    133.346    0.0  
 2.0    14.0    290.0    306.0    288.0    315.0    1.0    -1.0    1.0    129.379    129.379    134.747    135.231    138.25    138.25    139.515  
 1.0    14.0    311.0    321.0    313.0    327.0    1.0    1.0    0.0    144.71    144.71    144.955    145.436    148.457    148.457    149.842  
 2.0    14.0    311.0    321.0    313.0    327.0    1.0    -1.0    1.0    144.71    144.71    151.009    151.493    154.512    154.512    155.446  
 1.0    14.0    318.0    314.0    324.0    316.0    1.0    1.0    0.0    159.979    159.979    160.432    160.764    163.935    163.935    165.102  
 2.0    14.0    318.0    314.0    324.0    316.0    1.0    -1.0    1.0    159.979    159.979    166.317    166.801    169.82    169.82    170.473  
 1.0    14.0    134.0    118.0    143.0    110.0    -1.0    -1.0    0.0    176.009    176.009    176.525    177.009    180.028    180.028    181.147  
 2.0    14.0    134.0    118.0    143.0    110.0    1.0    1.0    0.0    176.009    176.009    182.315    182.646    185.817    185.817    186.566  
 1.0    14.0    229.0    232.0    235.0    229.0    -1.0    -1.0    0.0    191.375    191.375    191.669    192.153    195.172    195.172    197.677  
 2.0    14.0    229.0    232.0    235.0    229.0    1.0    0.0    999.0    191.375    191.375    197.974    198.457    201.476    201.476    0.0  
 1.0    14.0    46.0    30.0    36.0    22.0    -1.0    -1.0    0.0    207.335    207.335    207.566    207.898    211.069    211.069    211.818  
 2.0    14.0    46.0    30.0    36.0    22.0    -1.0    -1.0    0.0    207.335    207.335    214.338    214.669    217.841    217.841    218.805  
 1.0    14.0    105.0    107.0    114.0    101.0    -1.0    -1.0    0.0    223.297    223.297    223.576    224.06    227.078    227.078    227.965  
 2.0    14.0    105.0    107.0    114.0    101.0    1.0    1.0    0.0    223.297    223.297    230.067    230.398    233.569    233.569    234.502  
 1.0    14.0    242.0    191.0    248.0    186.0    -1.0    1.0    1.0    238.908    238.908    239.373    239.704    242.875    242.875    243.809  
 2.0    14.0    242.0    191.0    248.0    186.0    1.0    -1.0    1.0    238.908    238.908    245.927    246.409    249.413    249.413    250.162  
 1.0    14.0    293.0    315.0    299.0    320.0    1.0    1.0    0.0    254.82    254.82    255.284    255.615    258.786    258.786    259.972  
 2.0    14.0    293.0    315.0    299.0    320.0    1.0    -1.0    1.0    254.82    254.82    260.919    261.403    264.422    264.422    265.793  
 1.0    14.0    73.0    65.0    83.0    73.0    1.0    0.0    999.0    270.292    270.292    270.746    271.229    274.248    274.248    0.0  
 2.0    14.0    73.0    65.0    83.0    73.0    1.0    0.0    999.0    270.292    270.292    275.884    276.35    279.385    279.385    0.0  
 1.0    14.0    127.0    105.0    133.0    103.0    -1.0    -1.0    0.0    286.322    286.322    286.557    286.888    290.059    290.059    291.041  
 2.0    14.0    127.0    105.0    133.0    103.0    1.0    0.0    999.0    286.322    286.322    293.127    293.611    296.63    296.63    0.0  
 1.0    14.0    167.0    140.0    176.0    147.0    -1.0    1.0    1.0    301.917    301.917    302.151    302.619    305.654    305.654    306.839  
 2.0    14.0    167.0    140.0    176.0    147.0    -1.0    0.0    999.0    301.917    301.917    309.157    309.489    312.66    312.66    0.0  
 1.0    14.0    286.0    347.0    276.0    339.0    -1.0    0.0    999.0    317.231    317.231    317.465    317.794    320.965    320.965    0.0  
 2.0    14.0    286.0    347.0    276.0    339.0    -1.0    0.0    999.0    317.231    317.231    322.6    323.086    326.102    326.102    0.0  
 1.0    14.0    297.0    318.0    298.0    315.0    1.0    1.0    0.0    332.882    332.882    333.389    333.872    336.893    336.893    337.66  
 2.0    14.0    297.0    318.0    298.0    315.0    -1.0    0.0    999.0    332.882    332.882    340.137    340.462    343.639    343.639    0.0  
 1.0    14.0    238.0    222.0    240.0    228.0    -1.0    1.0    1.0    348.454    348.454    348.693    349.018    352.211    352.211    352.911  
 2.0    14.0    238.0    222.0    240.0    228.0    -1.0    -1.0    0.0    348.454    348.454    355.507    355.991    359.008    359.008    359.719  
 1.0    14.0    194.0    231.0    184.0    225.0    1.0    0.0    999.0    364.011    364.011    364.487    364.822    368.007    368.007    0.0  
