 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    12.0    204.0    40.0    295.0    221.9    67.9    157.0    17.9    3.0    2.0    1.0    1.0    214.0    -10.0    10.0    10.0    204.0    221.9    3.0    40.0    67.9    1.0    295.0    4.0    157.0    2.0    40.522    48.918    41.562    61.272    5.029    66.301    21.251  
 3.0    0.2    12.0    201.0    134.0    301.0    30.0    153.6    330.3    171.0    3.0    2.0    0.0    0.0    295.0    -94.0    94.0    94.0    134.0    153.6    2.0    301.0    330.3    4.0    201.0    3.0    30.0    1.0    66.939    68.507    67.951    80.862    5.02    85.882    14.422  
 1.0    7.0    5.0    200.0    22.0    305.0    217.5    47.5    112.0    17.5    3.0    1.0    1.0    1.0    202.0    -2.0    2.0    2.0    200.0    217.5    3.0    22.0    47.5    1.0    305.0    4.0    112.0    2.0    86.519    87.532    94.889    100.244    5.018    105.262    14.224  
 1.0    7.0    5.0    67.0    313.0    235.0    55.6    291.7    125.0    11.4    1.0    1.0    -1.0    1.0    80.0    -13.0    13.0    -13.0    67.0    55.6    1.0    313.0    291.7    4.0    235.0    3.0    125.0    2.0    105.901    106.915    114.271    119.626    5.017    124.643    14.225  
 3.0    0.2    12.0    64.0    203.0    297.0    148.0    218.3    320.1    84.0    1.0    2.0    0.0    1.0    69.0    -5.0    5.0    5.0    203.0    218.3    3.0    297.0    320.1    4.0    64.0    1.0    148.0    2.0    125.28    126.849    126.292    139.203    5.021    144.224    14.421  
 1.0    0.2    11.8    227.0    143.0    58.0    216.3    117.8    298.0    10.7    3.0    1.0    -1.0    1.0    240.0    -13.0    13.0    -13.0    227.0    216.3    3.0    143.0    117.8    2.0    58.0    1.0    298.0    4.0    144.861    145.874    146.43    158.584    5.021    163.605    14.221  
 3.0    0.2    11.8    33.0    143.0    323.0    238.0    128.0    299.3    155.0    1.0    1.0    0.0    0.0    21.0    12.0    12.0    12.0    143.0    128.0    2.0    323.0    299.3    4.0    33.0    1.0    238.0    3.0    164.241    165.254    165.809    177.963    5.022    182.986    14.22  
 3.0    0.2    12.0    302.0    158.0    246.0    46.0    147.5    218.2    104.0    4.0    2.0    0.0    0.0    314.0    -12.0    12.0    12.0    158.0    147.5    2.0    246.0    218.2    3.0    302.0    4.0    46.0    1.0    183.623    185.19    184.635    197.543    5.023    202.566    14.419  
 3.0    7.0    12.0    233.0    47.0    128.0    314.0    63.1    148.0    81.0    3.0    2.0    0.0    0.0    240.0    -7.0    7.0    7.0    47.0    63.1    1.0    128.0    148.0    2.0    233.0    3.0    314.0    4.0    203.205    211.573    204.216    223.927    5.024    228.952    21.222  
 1.0    7.0    5.0    314.0    55.0    153.0    303.0    31.7    206.0    11.0    4.0    1.0    -1.0    0.0    330.0    -16.0    16.0    -16.0    314.0    303.0    4.0    55.0    31.7    1.0    153.0    2.0    206.0    3.0    229.59    230.601    237.958    243.311    5.021    248.333    14.22  
