 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 193.0    193.0    14.0    3.0    195.0    0.0    0.0    0.0    45.176    4.737    45.176    45.68    49.396    50.383  
 96.0    102.0    14.0    3.0    95.0    1.0    0.0    1.0    55.893    4.745    55.893    56.398    60.12    61.389  
 276.0    276.0    14.0    3.0    275.0    0.0    1.0    1.0    65.942    4.738    65.942    66.445    70.161    71.899  
 326.0    326.0    14.0    3.0    325.0    0.0    1.0    1.0    75.952    4.734    75.952    76.456    80.168    81.053  
 31.0    24.0    14.0    3.0    35.0    1.0    0.0    1.0    86.999    4.744    86.999    87.503    91.226    92.162  
 124.0    129.0    14.0    3.0    125.0    1.0    1.0    0.0    97.387    4.748    97.387    97.891    101.617    102.82  
 221.0    221.0    14.0    3.0    225.0    0.0    1.0    1.0    108.549    4.744    108.549    109.052    112.775    113.594  
 282.0    282.0    14.0    3.0    285.0    0.0    1.0    1.0    120.066    4.735    120.066    120.569    124.283    125.303  
 352.0    352.0    14.0    3.0    355.0    0.0    1.0    1.0    130.383    4.742    130.383    130.886    134.607    135.893  
 176.0    171.0    14.0    3.0    175.0    1.0    0.0    1.0    140.578    4.739    140.578    141.082    144.798    145.651  
 243.0    243.0    14.0    3.0    245.0    0.0    1.0    1.0    151.518    4.74    151.518    152.021    155.739    156.708  
 71.0    66.0    14.0    3.0    75.0    1.0    0.0    1.0    162.701    4.731    162.701    163.204    166.914    167.666  
 161.0    151.0    14.0    3.0    165.0    1.0    0.0    1.0    174.016    4.741    174.016    174.519    178.239    179.091  
 102.0    111.0    14.0    3.0    105.0    1.0    1.0    0.0    185.271    4.745    185.271    185.774    189.497    190.7  
 332.0    332.0    14.0    3.0    335.0    0.0    0.0    0.0    196.618    4.739    196.619    197.123    200.839    201.624  
 49.0    42.0    14.0    3.0    45.0    1.0    1.0    0.0    207.72    4.744    207.72    208.225    211.947    213.299  
 346.0    346.0    14.0    3.0    345.0    0.0    1.0    1.0    217.837    4.736    217.837    218.34    222.054    223.09  
 146.0    154.0    14.0    3.0    145.0    1.0    0.0    1.0    228.864    4.732    228.864    229.369    233.079    234.998  
 218.0    218.0    14.0    3.0    215.0    0.0    0.0    0.0    239.259    4.746    239.259    239.763    243.486    244.506  
 51.0    41.0    14.0    3.0    55.0    1.0    0.0    1.0    250.278    4.736    250.278    250.782    254.494    255.396  
 183.0    183.0    14.0    3.0    185.0    0.0    1.0    1.0    261.036    4.735    261.036    261.539    265.252    266.522  
 66.0    73.0    14.0    3.0    65.0    1.0    0.0    1.0    271.472    4.739    271.472    271.975    275.694    276.529  
 303.0    303.0    14.0    3.0    305.0    0.0    1.0    1.0    281.603    4.732    281.603    282.107    285.817    286.786  
 209.0    209.0    14.0    3.0    205.0    0.0    0.0    0.0    291.698    4.745    291.698    292.201    295.924    296.876  
 239.0    239.0    14.0    3.0    235.0    0.0    1.0    1.0    301.615    4.734    301.615    302.119    305.832    307.601  
 316.0    316.0    14.0    3.0    315.0    0.0    1.0    1.0    312.743    4.732    312.743    313.246    316.956    318.025  
 88.0    80.0    14.0    3.0    85.0    1.0    999.0    999.0    323.227    4.737    323.227    323.731    327.447    329.964  
 111.0    117.0    14.0    3.0    115.0    1.0    999.0    999.0    334.598    4.742    334.598    335.102    338.822    341.34  
 138.0    146.0    14.0    3.0    135.0    1.0    999.0    999.0    345.784    4.731    345.784    346.287    349.996    352.515  
 24.0    14.0    14.0    3.0    25.0    1.0    999.0    999.0    357.309    4.731    357.309    357.812    361.522    364.04  
 19.0    14.0    14.0    3.0    15.0    1.0    999.0    999.0    367.259    4.738    367.259    367.763    371.479    373.997  
 256.0    256.0    14.0    3.0    255.0    0.0    999.0    999.0    378.177    4.745    378.177    378.681    382.404    384.922  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14    42.14  
