 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    0.2    11.8    219.0    305.0    138.0    238.8    331.6    23.0    19.8    3.0    1.0    1.0    0.0    221.0    -2.0    2.0    2.0    219.0    238.8    3.0    305.0    331.6    4.0    138.0    2.0    23.0    1.0    42.022    43.062    43.617    55.77    5.027    60.797    14.248  
 1.0    7.0    5.0    113.0    299.0    44.0    128.1    324.5    208.0    15.1    2.0    1.0    1.0    1.0    107.0    6.0    6.0    -6.0    113.0    128.1    2.0    299.0    324.5    4.0    44.0    1.0    208.0    3.0    61.435    62.447    69.802    75.157    5.021    80.178    14.221  
 3.0    7.0    12.0    200.0    306.0    62.0    143.0    292.6    39.3    57.0    3.0    2.0    0.0    0.0    206.0    -6.0    6.0    -6.0    306.0    292.6    4.0    62.0    39.3    1.0    200.0    3.0    143.0    2.0    80.816    89.183    81.827    101.536    5.028    106.564    21.219  
 1.0    0.2    11.8    220.0    313.0    130.0    230.5    333.1    57.0    10.5    3.0    1.0    1.0    1.0    220.0    0.0    0.0    0.0    220.0    230.5    3.0    313.0    333.1    4.0    130.0    2.0    57.0    1.0    107.202    108.214    108.77    120.923    5.021    125.945    14.22  
 3.0    7.0    12.0    312.0    137.0    30.0    233.0    149.4    58.8    79.0    4.0    2.0    0.0    1.0    328.0    -16.0    16.0    -16.0    137.0    149.4    2.0    30.0    58.8    1.0    312.0    4.0    233.0    3.0    126.583    134.95    127.594    147.304    5.027    152.33    21.22  
 1.0    0.2    11.8    124.0    224.0    299.0    112.2    203.4    25.0    11.8    2.0    1.0    -1.0    1.0    129.0    -5.0    5.0    -5.0    124.0    112.2    2.0    224.0    203.4    3.0    299.0    4.0    25.0    1.0    152.967    153.98    154.535    166.689    5.022    171.711    14.219  
 3.0    0.2    12.0    63.0    233.0    127.0    292.0    246.2    152.5    131.0    1.0    2.0    0.0    1.0    62.0    1.0    1.0    1.0    233.0    246.2    3.0    127.0    152.5    2.0    63.0    1.0    292.0    4.0    172.348    173.914    173.359    186.269    5.023    191.292    14.419  
 1.0    7.0    12.0    327.0    144.0    207.0    308.1    123.6    23.0    18.9    4.0    2.0    -1.0    0.0    340.0    -13.0    13.0    -13.0    327.0    308.1    4.0    144.0    123.6    2.0    207.0    3.0    23.0    1.0    191.93    200.298    192.942    212.652    5.025    217.678    21.221  
 3.0    7.0    12.0    327.0    215.0    136.0    58.0    233.2    158.9    91.0    4.0    2.0    0.0    1.0    331.0    -4.0    4.0    4.0    215.0    233.2    3.0    136.0    158.9    2.0    327.0    4.0    58.0    1.0    218.316    226.684    219.327    239.038    5.025    244.063    21.222  
 1.0    7.0    12.0    298.0    29.0    146.0    312.8    50.7    218.0    14.8    4.0    2.0    1.0    1.0    294.0    4.0    4.0    -4.0    298.0    312.8    4.0    29.0    50.7    1.0    146.0    2.0    218.0    3.0    244.701    253.067    245.712    265.421    5.029    270.449    21.218  
