 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    0.2    11.8    142.0    241.0    321.0    126.0    214.7    64.0    16.0    2.0    1.0    -1.0    1.0    130.0    12.0    12.0    12.0    142.0    126.0    2.0    241.0    214.7    3.0    321.0    4.0    64.0    1.0    43.424    44.464    45.02    57.174    5.024    62.198    14.251  
 3.0    7.0    12.0    204.0    51.0    114.0    311.0    65.1    134.2    107.0    3.0    2.0    0.0    1.0    179.0    25.0    25.0    -25.0    51.0    65.1    1.0    114.0    134.2    2.0    204.0    3.0    311.0    4.0    62.836    71.204    63.848    83.559    5.024    88.584    21.223  
 3.0    7.0    5.0    63.0    200.0    139.0    305.0    216.7    159.5    118.0    1.0    1.0    0.0    1.0    49.0    14.0    14.0    14.0    200.0    216.7    3.0    139.0    159.5    2.0    63.0    1.0    305.0    4.0    89.222    90.234    97.589    102.943    5.022    107.965    14.22  
 3.0    7.0    12.0    296.0    223.0    156.0    53.0    204.2    126.5    117.0    4.0    2.0    0.0    1.0    308.0    -12.0    12.0    12.0    223.0    204.2    3.0    156.0    126.5    2.0    296.0    4.0    53.0    1.0    108.602    116.971    109.615    129.325    5.026    134.35    21.221  
 3.0    0.2    11.8    312.0    42.0    232.0    113.0    29.4    206.6    161.0    4.0    1.0    0.0    0.0    323.0    -11.0    11.0    11.0    42.0    29.4    1.0    232.0    206.6    3.0    312.0    4.0    113.0    2.0    134.988    135.999    136.555    148.71    5.021    153.731    14.221  
 1.0    7.0    12.0    322.0    137.0    203.0    303.4    111.7    27.0    18.6    4.0    2.0    -1.0    1.0    302.0    20.0    20.0    20.0    322.0    303.4    4.0    137.0    111.7    2.0    203.0    3.0    27.0    1.0    154.369    162.736    155.38    175.09    5.027    180.117    21.22  
 3.0    0.2    12.0    152.0    216.0    43.0    303.0    230.6    66.2    151.0    2.0    2.0    0.0    1.0    136.0    16.0    16.0    -16.0    216.0    230.6    3.0    43.0    66.2    1.0    152.0    2.0    303.0    4.0    180.755    182.323    181.767    194.676    5.021    199.698    14.42  
 3.0    0.2    11.8    131.0    242.0    339.0    43.0    230.4    311.9    88.0    2.0    1.0    0.0    0.0    126.0    5.0    5.0    5.0    242.0    230.4    3.0    339.0    311.9    4.0    131.0    2.0    43.0    1.0    200.336    201.348    201.903    214.058    5.021    219.078    14.221  
 3.0    0.2    11.8    313.0    39.0    243.0    153.0    22.4    215.4    160.0    4.0    1.0    0.0    0.0    318.0    -5.0    5.0    -5.0    39.0    22.4    1.0    243.0    215.4    3.0    313.0    4.0    153.0    2.0    219.716    220.728    221.283    233.437    5.022    238.459    14.22  
 1.0    0.2    11.8    137.0    227.0    302.0    118.5    200.5    69.0    18.5    2.0    1.0    -1.0    1.0    121.0    16.0    16.0    16.0    137.0    118.5    2.0    227.0    200.5    3.0    302.0    4.0    69.0    1.0    239.097    240.109    240.664    252.818    5.022    257.84    14.22  
