 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 194.0    194.0    14.0    3.0    195.0    0.0    0.0    0.0    45.848    4.733    45.848    46.352    50.062    50.883  
 91.0    82.0    14.0    3.0    95.0    1.0    1.0    0.0    55.924    4.747    55.924    56.427    60.151    61.273  
 271.0    271.0    14.0    3.0    275.0    0.0    0.0    0.0    65.893    4.736    65.893    66.396    70.11    70.912  
 322.0    322.0    14.0    3.0    325.0    0.0    1.0    1.0    75.841    4.743    75.842    76.344    80.067    81.437  
 33.0    41.0    14.0    3.0    35.0    1.0    1.0    0.0    86.109    4.733    86.109    86.613    90.324    91.461  
 128.0    135.0    14.0    3.0    125.0    1.0    1.0    0.0    96.794    4.739    96.794    97.298    101.016    102.168  
 226.0    226.0    14.0    3.0    225.0    0.0    0.0    0.0    107.666    4.743    107.666    108.169    111.89    112.659  
 286.0    286.0    14.0    3.0    285.0    0.0    0.0    0.0    118.921    4.746    118.921    119.425    123.148    123.984  
 352.0    352.0    14.0    3.0    355.0    0.0    1.0    1.0    129.049    4.742    129.049    129.552    133.272    134.491  
 172.0    180.0    14.0    3.0    175.0    1.0    1.0    0.0    140.543    4.739    140.543    141.047    144.764    145.683  
 244.0    244.0    14.0    3.0    245.0    0.0    0.0    0.0    150.935    4.738    150.935    151.438    155.155    156.057  
 78.0    70.0    14.0    3.0    75.0    1.0    1.0    0.0    161.605    4.742    161.605    162.109    165.829    167.465  
 164.0    172.0    14.0    3.0    165.0    1.0    1.0    0.0    171.94    4.732    171.94    172.443    176.153    177.106  
 104.0    99.0    14.0    3.0    105.0    1.0    1.0    0.0    182.373    4.739    182.373    182.877    186.594    187.697  
 334.0    334.0    14.0    3.0    335.0    0.0    0.0    0.0    193.336    4.734    193.336    193.84    197.552    198.639  
 47.0    57.0    14.0    3.0    45.0    1.0    1.0    0.0    203.58    4.731    203.58    204.083    207.793    208.878  
 344.0    344.0    14.0    3.0    345.0    0.0    0.0    0.0    214.844    4.743    214.844    215.348    219.068    219.987  
 149.0    154.0    14.0    3.0    145.0    1.0    1.0    0.0    226.298    4.746    226.298    226.802    230.526    231.495  
 211.0    211.0    14.0    3.0    215.0    0.0    0.0    0.0    236.857    4.744    236.857    237.36    241.083    241.969  
 51.0    45.0    14.0    3.0    55.0    1.0    0.0    1.0    246.694    4.731    246.694    247.198    250.907    251.893  
 182.0    182.0    14.0    3.0    185.0    0.0    1.0    1.0    257.859    4.742    257.859    258.363    262.082    263.501  
 68.0    75.0    14.0    3.0    65.0    1.0    1.0    0.0    268.704    4.739    268.704    269.207    272.923    273.809  
 309.0    309.0    14.0    3.0    305.0    0.0    0.0    0.0    279.965    4.736    279.965    280.468    284.181    284.984  
 209.0    209.0    14.0    3.0    205.0    0.0    0.0    0.0    290.792    4.732    290.792    291.295    295.006    295.758  
 236.0    236.0    14.0    3.0    235.0    0.0    0.0    0.0    301.067    4.732    301.067    301.571    305.281    306.033  
 314.0    314.0    14.0    3.0    315.0    0.0    0.0    0.0    311.111    4.745    311.111    311.615    315.337    316.24  
 89.0    80.0    14.0    3.0    85.0    1.0    1.0    0.0    322.548    4.733    322.548    323.052    326.762    327.548  
 113.0    119.0    14.0    3.0    115.0    1.0    0.0    1.0    332.863    4.741    332.863    333.366    337.086    337.872  
 133.0    125.0    14.0    3.0    135.0    1.0    1.0    0.0    342.937    4.742    342.937    343.441    347.16    348.063  
 29.0    22.0    14.0    3.0    25.0    1.0    0.0    1.0    354.221    4.732    354.221    354.726    358.435    359.254  
 11.0    18.0    14.0    3.0    15.0    1.0    1.0    0.0    364.925    4.736    364.925    365.429    369.143    370.129  
 254.0    254.0    14.0    3.0    255.0    0.0    0.0    0.0    376.684    4.735    376.684    377.188    380.901    381.787  
 298.0    298.0    14.0    3.0    295.0    0.0    0.0    0.0    388.322    4.739    388.322    388.827    392.543    393.212  
 1.0    355.0    14.0    3.0    5.0    1.0    1.0    0.0    398.513    4.738    398.513    399.018    402.734    403.636  
 263.0    263.0    14.0    3.0    265.0    0.0    0.0    0.0    408.885    4.742    408.885    409.388    413.108    413.894  
 153.0    161.0    14.0    3.0    155.0    1.0    1.0    0.0    420.059    4.741    420.059    420.563    424.283    425.519  
 41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622    41.622  
