 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    12.0    139.0    40.0    307.0    157.7    62.7    235.0    18.7    2.0    2.0    1.0    1.0    128.0    11.0    11.0    -11.0    139.0    157.7    2.0    40.0    62.7    1.0    307.0    4.0    235.0    3.0    40.371    48.767    41.411    61.121    5.029    66.151    21.25  
 3.0    7.0    5.0    129.0    319.0    249.0    59.0    304.9    222.1    70.0    2.0    1.0    0.0    0.0    126.0    3.0    3.0    3.0    319.0    304.9    4.0    249.0    222.1    3.0    129.0    2.0    59.0    1.0    66.788    67.801    75.158    80.511    5.02    85.531    14.222  
 1.0    0.2    11.8    222.0    128.0    315.0    238.0    151.5    61.0    16.0    3.0    1.0    1.0    0.0    213.0    9.0    9.0    -9.0    222.0    238.0    3.0    128.0    151.5    2.0    315.0    4.0    61.0    1.0    86.168    87.179    87.735    99.889    5.023    104.912    14.219  
 1.0    0.2    11.8    298.0    213.0    119.0    313.9    235.6    22.0    15.9    4.0    1.0    1.0    0.0    262.0    36.0    36.0    -36.0    298.0    313.9    4.0    213.0    235.6    3.0    119.0    2.0    22.0    1.0    105.55    106.562    107.118    119.273    5.019    124.293    14.222  
 3.0    7.0    12.0    308.0    126.0    53.0    249.0    115.7    32.3    59.0    4.0    2.0    0.0    1.0    306.0    2.0    2.0    2.0    126.0    115.7    2.0    53.0    32.3    1.0    308.0    4.0    249.0    3.0    124.929    133.295    125.941    145.651    5.027    150.678    21.22  
 3.0    0.2    11.8    120.0    29.0    295.0    239.0    39.5    316.0    119.0    2.0    1.0    0.0    1.0    112.0    8.0    8.0    -8.0    29.0    39.5    1.0    295.0    316.0    4.0    120.0    2.0    239.0    3.0    151.316    152.328    152.884    165.038    5.021    170.059    14.221  
 3.0    0.2    12.0    297.0    62.0    154.0    236.0    43.0    133.6    61.0    4.0    2.0    0.0    1.0    295.0    2.0    2.0    2.0    62.0    43.0    1.0    154.0    133.6    2.0    297.0    4.0    236.0    3.0    170.697    172.265    171.709    184.62    5.02    189.64    14.422  
 3.0    0.2    12.0    134.0    304.0    245.0    50.0    292.9    218.5    84.0    2.0    2.0    0.0    0.0    127.0    7.0    7.0    7.0    304.0    292.9    4.0    245.0    218.5    3.0    134.0    2.0    50.0    1.0    190.278    191.846    191.29    204.2    5.021    209.221    14.421  
 3.0    7.0    5.0    158.0    32.0    241.0    305.0    21.0    221.0    147.0    2.0    1.0    0.0    1.0    154.0    4.0    4.0    -4.0    32.0    21.0    1.0    241.0    221.0    3.0    158.0    2.0    305.0    4.0    209.858    210.87    218.226    223.582    5.02    228.601    14.222  
 3.0    0.2    12.0    218.0    156.0    328.0    49.0    140.6    298.5    169.0    3.0    2.0    0.0    0.0    215.0    3.0    3.0    3.0    156.0    140.6    2.0    328.0    298.5    4.0    218.0    3.0    49.0    1.0    229.238    230.806    230.25    243.161    5.021    248.182    14.421  
