 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143    43.143  
 1.0    14.0    204.0    223.0    206.0    222.0    -1.0    1.0    1.0    45.529    45.529    45.75    46.081    49.252    49.252    50.42  
 2.0    14.0    204.0    223.0    206.0    222.0    1.0    1.0    0.0    45.529    45.529    51.218    51.685    54.72    54.72    56.491  
 1.0    14.0    129.0    135.0    137.0    141.0    -1.0    -1.0    0.0    60.66    60.66    61.127    61.611    64.63    64.63    65.564  
 2.0    14.0    129.0    135.0    137.0    141.0    -1.0    -1.0    0.0    60.66    60.66    68.132    68.464    71.635    71.635    72.883  
 1.0    14.0    288.0    292.0    289.0    302.0    1.0    -1.0    1.0    76.015    76.015    76.472    76.803    79.974    79.974    81.223  
 2.0    14.0    288.0    292.0    289.0    302.0    1.0    1.0    0.0    76.015    76.015    81.69    82.174    85.192    85.192    86.512  
 1.0    14.0    313.0    340.0    307.0    345.0    -1.0    -1.0    0.0    91.539    91.539    91.814    92.298    95.316    95.316    96.3  
 2.0    14.0    313.0    340.0    307.0    345.0    1.0    1.0    0.0    91.539    91.539    98.602    99.086    102.105    102.105    102.974  
 1.0    14.0    199.0    234.0    208.0    229.0    -1.0    -1.0    0.0    107.267    107.267    107.494    107.961    110.997    110.997    111.931  
 2.0    14.0    199.0    234.0    208.0    229.0    1.0    -1.0    1.0    107.267    107.267    112.946    113.43    116.448    116.448    117.383  
 1.0    14.0    334.0    280.0    344.0    289.0    1.0    1.0    0.0    123.055    123.055    123.289    123.621    126.792    126.792    127.509  
 2.0    14.0    334.0    280.0    344.0    289.0    1.0    1.0    0.0    123.055    123.055    130.092    130.576    133.594    133.594    134.514  
 1.0    14.0    349.0    325.0    348.0    331.0    -1.0    -1.0    0.0    138.209    138.209    138.514    138.998    142.017    142.017    143.804  
 2.0    14.0    349.0    325.0    348.0    331.0    1.0    1.0    0.0    138.209    138.209    145.205    145.536    148.707    148.707    149.506  
 1.0    14.0    280.0    282.0    283.0    277.0    1.0    1.0    0.0    153.905    153.905    154.128    154.595    157.631    157.631    159.265  
 2.0    14.0    280.0    282.0    283.0    277.0    -1.0    -1.0    0.0    153.905    153.905    161.133    161.464    164.636    164.636    165.804  
 1.0    14.0    123.0    149.0    127.0    152.0    -1.0    -1.0    0.0    169.179    169.179    169.64    169.971    173.142    173.142    173.907  
 2.0    14.0    123.0    149.0    127.0    152.0    -1.0    -1.0    0.0    169.179    169.179    174.777    175.108    178.279    178.279    179.213  
 1.0    14.0    140.0    138.0    134.0    148.0    1.0    1.0    0.0    184.696    184.696    185.167    185.649    188.67    188.67    189.588  
 2.0    14.0    140.0    138.0    134.0    148.0    -1.0    -1.0    0.0    184.696    184.696    190.603    191.086    194.105    194.105    194.958  
 1.0    14.0    71.0    30.0    73.0    33.0    1.0    1.0    0.0    200.067    200.067    200.295    200.626    203.798    203.798    204.749  
 2.0    14.0    71.0    30.0    73.0    33.0    1.0    1.0    0.0    200.067    200.067    205.463    205.948    208.966    208.966    209.9  
 1.0    14.0    250.0    241.0    244.0    240.0    1.0    1.0    0.0    215.516    215.516    216.004    216.488    219.492    219.492    220.41  
 2.0    14.0    250.0    241.0    244.0    240.0    1.0    1.0    0.0    215.516    215.516    222.278    222.745    225.78    225.78    226.715  
 1.0    14.0    159.0    159.0    161.0    166.0    -1.0    1.0    1.0    230.75    230.75    231.217    231.549    234.72    234.72    235.889  
 2.0    14.0    159.0    159.0    161.0    166.0    -1.0    -1.0    0.0    230.75    230.75    236.355    236.687    239.857    239.857    240.623  
 1.0    14.0    289.0    329.0    282.0    324.0    -1.0    -1.0    0.0    246.774    246.774    247.23    247.562    250.732    250.732    251.481  
 2.0    14.0    289.0    329.0    282.0    324.0    -1.0    1.0    1.0    246.774    246.774    253.784    254.265    257.286    257.286    258.719  
 1.0    14.0    329.0    345.0    320.0    342.0    -1.0    -1.0    0.0    262.177    262.177    262.64    263.124    266.143    266.143    266.86  
 2.0    14.0    329.0    345.0    320.0    342.0    -1.0    -1.0    0.0    262.177    262.177    269.278    269.744    272.78    272.78    273.664  
 1.0    14.0    120.0    155.0    111.0    146.0    1.0    1.0    0.0    277.918    277.918    278.157    278.485    281.662    281.662    282.36  
 2.0    14.0    120.0    155.0    111.0    146.0    1.0    1.0    0.0    277.918    277.918    284.055    284.538    287.557    287.557    288.433  
 1.0    14.0    300.0    322.0    296.0    320.0    -1.0    1.0    1.0    293.282    293.282    293.53    294.012    297.032    297.032    297.955  
 2.0    14.0    300.0    322.0    296.0    320.0    -1.0    1.0    1.0    293.282    293.282    300.325    300.65    303.86    303.86    304.812  
 1.0    14.0    231.0    220.0    225.0    212.0    1.0    1.0    0.0    309.186    309.186    309.508    309.989    313.01    313.01    314.121  
 2.0    14.0    231.0    220.0    225.0    212.0    1.0    1.0    0.0    309.186    309.186    314.643    315.127    318.145    318.145    319.024  
 1.0    14.0    255.0    257.0    256.0    260.0    -1.0    -1.0    0.0    324.876    324.876    325.109    325.613    328.63    328.63    330.498  
 2.0    14.0    255.0    257.0    256.0    260.0    -1.0    1.0    1.0    324.876    324.876    330.964    331.431    334.482    334.482    335.476  
 1.0    14.0    215.0    208.0    206.0    213.0    1.0    -1.0    1.0    340.247    340.247    340.722    341.047    344.098    344.098    345.408  
 2.0    14.0    215.0    208.0    206.0    213.0    -1.0    -1.0    0.0    340.247    340.247    346.341    346.667    349.845    349.845    350.62  
