 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394    45.394  
 1.0    14.0    144.0    102.0    134.0    97.0    1.0    -1.0    1.0    48.25    48.25    48.718    49.049    52.221    52.221    53.002  
 2.0    14.0    144.0    102.0    134.0    97.0    1.0    -1.0    1.0    48.25    48.25    54.556    54.888    58.058    58.059    58.992  
 1.0    14.0    213.0    196.0    205.0    200.0    1.0    -1.0    1.0    64.285    64.285    64.794    65.278    68.28    68.28    69.481  
 2.0    14.0    213.0    196.0    205.0    200.0    -1.0    1.0    1.0    64.285    64.285    71.332    71.816    74.835    74.835    75.519  
 1.0    14.0    67.0    47.0    71.0    37.0    1.0    1.0    0.0    80.315    80.315    80.541    80.873    84.044    84.044    84.995  
 2.0    14.0    67.0    47.0    71.0    37.0    -1.0    1.0    1.0    80.315    80.315    85.678    86.01    89.181    89.181    89.881  
 1.0    14.0    115.0    142.0    114.0    140.0    1.0    -1.0    1.0    96.383    96.383    96.867    97.351    100.37    100.37    101.137  
 2.0    14.0    115.0    142.0    114.0    140.0    1.0    -1.0    1.0    96.383    96.383    102.207    102.691    105.709    105.709    106.877  
 1.0    14.0    290.0    306.0    288.0    315.0    -1.0    -1.0    0.0    111.933    111.933    112.398    112.729    115.901    115.901    116.368  
 2.0    14.0    290.0    306.0    288.0    315.0    1.0    -1.0    1.0    111.933    111.933    118.983    119.467    122.486    122.486    123.237  
 1.0    14.0    311.0    321.0    313.0    327.0    1.0    -1.0    1.0    127.644    127.644    127.876    128.207    131.379    131.379    131.943  
 2.0    14.0    311.0    321.0    313.0    327.0    1.0    -1.0    1.0    127.644    127.644    134.414    134.746    137.916    137.916    138.698  
 1.0    14.0    318.0    314.0    324.0    316.0    1.0    -1.0    1.0    143.416    143.416    143.87    144.202    147.373    147.373    147.84  
 2.0    14.0    318.0    314.0    324.0    316.0    1.0    1.0    0.0    143.416    143.416    150.425    150.906    153.928    153.928    155.312  
 1.0    14.0    134.0    118.0    143.0    110.0    -1.0    1.0    1.0    159.419    159.419    159.883    160.213    163.385    163.385    163.851  
 2.0    14.0    134.0    118.0    143.0    110.0    1.0    -1.0    1.0    159.419    159.419    165.02    165.503    168.522    168.522    169.02  
 1.0    14.0    229.0    232.0    235.0    229.0    -1.0    1.0    1.0    175.46    175.46    175.71    176.192    179.196    179.196    179.928  
 2.0    14.0    229.0    232.0    235.0    229.0    1.0    1.0    0.0    175.46    175.46    182.699    183.03    186.201    186.201    186.668  
 1.0    14.0    46.0    30.0    36.0    22.0    -1.0    1.0    1.0    190.695    190.695    191.155    191.486    194.658    194.658    195.125  
 2.0    14.0    46.0    30.0    36.0    22.0    -1.0    -1.0    0.0    190.695    190.695    197.324    197.792    200.826    200.826    201.527  
 1.0    14.0    105.0    107.0    114.0    101.0    -1.0    1.0    1.0    206.163    206.163    206.616    207.1    210.119    210.119    210.82  
 2.0    14.0    105.0    107.0    114.0    101.0    1.0    -1.0    1.0    206.163    206.163    213.452    213.936    216.955    216.955    217.824  
 1.0    14.0    242.0    191.0    248.0    186.0    -1.0    -1.0    0.0    222.144    222.144    222.378    222.709    225.88    225.88    226.58  
 2.0    14.0    242.0    191.0    248.0    186.0    1.0    -1.0    1.0    222.144    222.144    228.98    229.463    232.482    232.482    233.352  
 1.0    14.0    293.0    315.0    299.0    320.0    1.0    -1.0    1.0    238.068    238.068    238.289    238.62    241.794    241.794    242.493  
 2.0    14.0    293.0    315.0    299.0    320.0    1.0    -1.0    1.0    238.068    238.068    244.66    245.142    248.161    248.161    249.03  
 1.0    14.0    73.0    65.0    83.0    73.0    1.0    -1.0    1.0    253.381    253.381    253.698    254.182    257.202    257.202    258.053  
 2.0    14.0    73.0    65.0    83.0    73.0    1.0    -1.0    1.0    253.381    253.381    259.922    260.253    263.289    263.289    263.891  
