 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841    39.841  
 1.0    14.0    119.0    140.0    128.0    132.0    -1.0    1.0    1.0    41.866    41.866    42.161    42.645    45.664    45.664    46.814  
 2.0    14.0    119.0    140.0    128.0    132.0    1.0    -1.0    1.0    41.866    41.866    48.168    48.499    51.67    51.67    52.469  
 1.0    14.0    329.0    329.0    338.0    331.0    1.0    -1.0    1.0    57.298    57.298    57.758    58.225    61.262    61.262    62.042  
 2.0    14.0    329.0    329.0    338.0    331.0    1.0    -1.0    1.0    57.298    57.298    63.159    63.643    66.662    66.662    67.646  
 1.0    14.0    128.0    130.0    132.0    120.0    -1.0    -1.0    0.0    73.375    73.375    73.853    74.184    77.356    77.356    78.154  
 2.0    14.0    128.0    130.0    132.0    120.0    1.0    -1.0    1.0    73.375    73.375    80.624    80.956    84.131    84.131    84.828  
 1.0    14.0    112.0    118.0    119.0    121.0    -1.0    1.0    1.0    88.601    88.601    89.064    89.532    92.567    92.567    93.315  
 2.0    14.0    112.0    118.0    119.0    121.0    -1.0    1.0    1.0    88.601    88.601    95.683    96.167    99.186    99.186    100.571  
 1.0    14.0    73.0    53.0    75.0    46.0    1.0    -1.0    1.0    104.152    104.152    104.609    105.076    108.112    108.112    109.046  
 2.0    14.0    73.0    53.0    75.0    46.0    -1.0    1.0    1.0    104.152    104.152    111.614    111.945    115.116    115.116    115.817  
 1.0    14.0    50.0    11.0    57.0    10.0    1.0    -1.0    1.0    120.236    120.236    120.471    120.938    123.973    123.973    124.907  
 2.0    14.0    50.0    11.0    57.0    10.0    -1.0    1.0    1.0    120.236    120.236    125.472    125.939    128.974    128.974    130.044  
 1.0    14.0    28.0    68.0    33.0    70.0    1.0    0.0    999.0    135.561    135.561    135.798    136.279    139.3    139.3    0.0  
 2.0    14.0    28.0    68.0    33.0    70.0    1.0    -1.0    1.0    135.561    135.561    141.152    141.483    144.654    144.654    145.822  
 1.0    14.0    70.0    30.0    79.0    20.0    1.0    -1.0    1.0    151.442    151.442    151.941    152.425    155.443    155.443    156.346  
 2.0    14.0    70.0    30.0    79.0    20.0    -1.0    1.0    1.0    151.442    151.442    157.111    157.595    160.613    160.613    161.95  
 1.0    14.0    36.0    19.0    33.0    26.0    -1.0    -1.0    0.0    167.277    167.277    167.504    167.836    171.007    171.007    171.941  
 2.0    14.0    36.0    19.0    33.0    26.0    1.0    -1.0    1.0    167.277    167.277    173.907    174.374    177.41    177.41    178.262  
 1.0    14.0    73.0    45.0    81.0    37.0    1.0    -1.0    1.0    183.346    183.346    183.63    184.115    187.133    187.133    188.47  
 2.0    14.0    73.0    45.0    81.0    37.0    -1.0    1.0    1.0    183.346    183.346    190.104    190.435    193.607    193.607    194.307  
 1.0    14.0    164.0    148.0    166.0    139.0    -1.0    -1.0    0.0    198.976    198.976    199.445    199.775    202.947    202.947    203.695  
 2.0    14.0    164.0    148.0    166.0    139.0    1.0    -1.0    1.0    198.976    198.976    205.983    206.314    209.485    209.485    210.186  
 1.0    14.0    105.0    114.0    114.0    121.0    -1.0    1.0    1.0    214.711    214.711    215.172    215.503    218.675    218.675    219.375  
 2.0    14.0    105.0    114.0    114.0    121.0    -1.0    1.0    1.0    214.711    214.711    220.543    220.874    224.045    224.045    224.794  
 1.0    14.0    50.0    36.0    45.0    45.0    -1.0    1.0    1.0    230.029    230.029    230.514    230.998    234.017    234.017    234.952  
 2.0    14.0    50.0    36.0    45.0    45.0    1.0    -1.0    1.0    230.029    230.029    236.088    236.42    239.59    239.59    240.373  
 1.0    14.0    245.0    215.0    253.0    217.0    -1.0    1.0    1.0    246.031    246.031    246.496    246.827    249.997    249.997    250.932  
 2.0    14.0    245.0    215.0    253.0    217.0    -1.0    1.0    1.0    246.031    246.031    252.38    252.864    255.884    255.884    256.769  
 1.0    14.0    255.0    226.0    245.0    228.0    1.0    -1.0    1.0    262.084    262.084    262.307    262.791    265.809    265.809    266.744  
 2.0    14.0    255.0    226.0    245.0    228.0    -1.0    1.0    1.0    262.084    262.084    268.144    268.476    271.648    271.648    272.815  
 1.0    14.0    217.0    199.0    213.0    198.0    1.0    1.0    0.0    278.158    278.158    278.636    279.134    282.137    282.137    283.387  
 2.0    14.0    217.0    199.0    213.0    198.0    1.0    1.0    0.0    278.158    278.158    284.689    285.021    288.192    288.192    289.376  
 1.0    14.0    228.0    236.0    220.0    229.0    1.0    -1.0    1.0    294.155    294.155    294.62    294.945    298.121    298.121    298.824  
 2.0    14.0    228.0    236.0    220.0    229.0    1.0    -1.0    1.0    294.155    294.155    300.026    300.348    303.402    303.402    304.245  
 1.0    14.0    337.0    325.0    340.0    328.0    1.0    1.0    0.0    309.42    309.42    309.898    310.223    313.401    313.401    314.426  
 2.0    14.0    337.0    325.0    340.0    328.0    1.0    1.0    0.0    309.42    309.42    314.859    315.343    318.362    318.362    319.239  
 1.0    14.0    73.0    61.0    64.0    56.0    -1.0    1.0    1.0    325.178    325.178    325.5    325.968    328.987    328.987    329.888  
 2.0    14.0    73.0    61.0    64.0    56.0    -1.0    1.0    1.0    325.178    325.178    332.2    332.524    335.701    335.701    336.179  
 1.0    14.0    10.0    38.0    4.0    41.0    -1.0    0.0    999.0    341.061    341.061    341.397    341.882    344.899    344.899    0.0  
 2.0    14.0    10.0    38.0    4.0    41.0    1.0    0.0    999.0    341.061    341.061    347.782    348.25    351.284    351.284    0.0  
