 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    7.0    5.0    145.0    316.0    208.0    68.0    333.9    228.0    77.0    2.0    1.0    0.0    1.0    148.0    -3.0    3.0    -3.0    316.0    333.9    4.0    208.0    228.0    3.0    145.0    2.0    68.0    1.0    42.055    43.095    50.45    55.803    5.028    60.831    14.247  
 3.0    0.2    12.0    121.0    57.0    324.0    226.0    37.9    298.8    105.0    2.0    2.0    0.0    1.0    117.0    4.0    4.0    -4.0    57.0    37.9    1.0    324.0    298.8    4.0    121.0    2.0    226.0    3.0    61.467    63.036    62.481    75.39    5.022    80.411    14.42  
 3.0    0.2    11.8    222.0    322.0    110.0    67.0    335.2    134.1    155.0    3.0    1.0    0.0    1.0    228.0    -6.0    6.0    -6.0    322.0    335.2    4.0    110.0    134.1    2.0    222.0    3.0    67.0    1.0    81.049    82.062    82.616    94.77    5.022    99.792    14.22  
 3.0    0.2    11.8    57.0    308.0    224.0    158.0    292.4    202.8    101.0    1.0    1.0    0.0    0.0    46.0    11.0    11.0    -11.0    308.0    292.4    4.0    224.0    202.8    3.0    57.0    1.0    158.0    2.0    100.429    101.442    101.998    114.152    5.021    119.173    14.221  
 3.0    7.0    12.0    62.0    241.0    331.0    145.0    226.6    301.5    83.0    1.0    2.0    0.0    1.0    84.0    -22.0    22.0    22.0    241.0    226.6    3.0    331.0    301.5    4.0    62.0    1.0    145.0    2.0    119.811    128.178    120.823    140.532    5.027    145.559    21.22  
 3.0    7.0    12.0    313.0    135.0    246.0    41.0    120.2    216.7    88.0    4.0    2.0    0.0    0.0    306.0    7.0    7.0    -7.0    135.0    120.2    2.0    246.0    216.7    3.0    313.0    4.0    41.0    1.0    146.196    154.563    147.208    166.916    5.028    171.945    21.219  
 3.0    0.2    12.0    205.0    335.0    153.0    25.0    315.7    128.7    180.0    3.0    2.0    0.0    0.0    204.0    1.0    1.0    1.0    335.0    315.7    4.0    153.0    128.7    2.0    205.0    3.0    25.0    1.0    172.581    174.15    173.594    186.504    5.021    191.525    14.421  
 1.0    7.0    12.0    314.0    64.0    218.0    303.0    34.8    125.0    11.0    4.0    2.0    -1.0    0.0    321.0    -7.0    7.0    -7.0    314.0    303.0    4.0    64.0    34.8    1.0    218.0    3.0    125.0    2.0    192.162    200.53    193.175    212.884    5.027    217.911    21.22  
 3.0    7.0    12.0    317.0    32.0    212.0    139.0    48.8    233.4    178.0    4.0    2.0    0.0    1.0    316.0    1.0    1.0    1.0    32.0    48.8    1.0    212.0    233.4    3.0    317.0    4.0    139.0    2.0    218.549    226.916    219.56    239.269    5.028    244.297    21.219  
 3.0    7.0    12.0    147.0    52.0    316.0    237.0    37.7    290.4    90.0    2.0    2.0    0.0    1.0    130.0    17.0    17.0    -17.0    52.0    37.7    1.0    316.0    290.4    4.0    147.0    2.0    237.0    3.0    244.935    253.303    245.947    265.658    5.025    270.683    21.222  
 1.0    7.0    5.0    312.0    246.0    156.0    299.2    223.8    52.0    12.8    4.0    1.0    -1.0    1.0    321.0    -9.0    9.0    -9.0    312.0    299.2    4.0    246.0    223.8    3.0    156.0    2.0    52.0    1.0    271.32    272.333    279.688    285.043    5.021    290.064    14.221  
 1.0    0.2    11.8    323.0    242.0    120.0    307.0    219.0    63.0    16.0    4.0    1.0    -1.0    1.0    300.0    23.0    23.0    23.0    323.0    307.0    4.0    242.0    219.0    3.0    120.0    2.0    63.0    1.0    290.701    291.713    292.269    304.423    5.021    309.444    14.221  
 1.0    0.2    12.0    139.0    40.0    215.0    155.1    62.9    332.0    16.1    2.0    2.0    1.0    0.0    154.0    -15.0    15.0    15.0    139.0    155.1    2.0    40.0    62.9    1.0    215.0    3.0    332.0    4.0    310.083    311.65    311.095    324.004    5.021    329.025    14.421  
 1.0    0.2    12.0    118.0    227.0    308.0    136.5    249.5    25.0    18.5    2.0    2.0    1.0    0.0    126.0    -8.0    8.0    8.0    118.0    136.5    2.0    227.0    249.5    3.0    308.0    4.0    25.0    1.0    329.663    331.229    330.674    343.583    5.023    348.606    14.419  
 3.0    7.0    12.0    117.0    246.0    329.0    25.0    230.1    306.0    92.0    2.0    2.0    0.0    1.0    108.0    9.0    9.0    9.0    246.0    230.1    3.0    329.0    306.0    4.0    117.0    2.0    25.0    1.0    349.243    357.61    350.255    369.964    5.028    374.992    21.219  
 1.0    7.0    5.0    127.0    307.0    36.0    143.2    335.3    216.0    16.2    2.0    1.0    1.0    0.0    110.0    17.0    17.0    -17.0    127.0    143.2    2.0    307.0    335.3    4.0    36.0    1.0    216.0    3.0    375.63    376.641    383.997    389.352    5.02    394.372    14.221  
 1.0    0.2    11.8    25.0    130.0    222.0    43.6    152.5    295.0    18.6    1.0    1.0    1.0    0.0    48.0    -23.0    23.0    23.0    25.0    43.6    1.0    130.0    152.5    2.0    222.0    3.0    295.0    4.0    395.009    396.021    396.576    408.731    5.022    413.753    14.22  
 3.0    7.0    12.0    233.0    144.0    308.0    44.0    154.1    333.1    171.0    3.0    2.0    0.0    0.0    236.0    -3.0    3.0    3.0    144.0    154.1    2.0    308.0    333.1    4.0    233.0    3.0    44.0    1.0    414.391    422.758    415.402    435.113    5.026    440.139    21.22  
