 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791    40.791  
 1.0    14.0    119.0    140.0    128.0    132.0    -1.0    -1.0    0.0    43.647    43.647    44.12    44.446    47.617    47.617    48.318  
 2.0    14.0    119.0    140.0    128.0    132.0    1.0    1.0    0.0    43.647    43.647    49.969    50.45    53.471    53.471    54.487  
 1.0    14.0    329.0    329.0    338.0    331.0    1.0    1.0    0.0    59.052    59.052    59.557    60.04    63.06    63.06    64.044  
 2.0    14.0    329.0    329.0    338.0    331.0    1.0    -1.0    1.0    59.052    59.052    66.145    66.612    69.648    69.648    71.184  
 1.0    14.0    128.0    130.0    132.0    120.0    -1.0    -1.0    0.0    74.356    74.356    74.821    75.318    78.323    78.323    79.725  
 2.0    14.0    128.0    130.0    132.0    120.0    1.0    1.0    0.0    74.356    74.356    81.826    82.157    85.328    85.328    86.076  
 1.0    14.0    112.0    118.0    119.0    121.0    -1.0    -1.0    0.0    90.078    90.078    90.298    90.63    93.801    93.801    94.6  
 2.0    14.0    112.0    118.0    119.0    121.0    -1.0    -1.0    0.0    90.078    90.078    95.516    96.0    99.019    99.019    100.105  
 1.0    14.0    73.0    53.0    75.0    46.0    1.0    -1.0    1.0    105.489    105.489    105.991    106.474    109.493    109.493    110.694  
 2.0    14.0    73.0    53.0    75.0    46.0    -1.0    -1.0    0.0    105.489    105.489    112.481    112.812    115.983    115.983    117.151  
 1.0    14.0    50.0    11.0    57.0    10.0    1.0    1.0    0.0    120.74    120.74    121.221    121.702    124.707    124.707    125.722  
 2.0    14.0    50.0    11.0    57.0    10.0    -1.0    1.0    1.0    120.74    120.74    126.623    127.106    130.125    130.125    131.326  
 1.0    14.0    28.0    68.0    33.0    70.0    1.0    1.0    0.0    135.871    135.871    136.332    136.663    139.834    139.834    140.768  
 2.0    14.0    28.0    68.0    33.0    70.0    1.0    -1.0    1.0    135.871    135.871    141.469    141.953    144.971    144.971    146.606  
 1.0    14.0    70.0    30.0    79.0    20.0    1.0    1.0    0.0    151.658    151.658    151.893    152.224    155.395    155.395    157.03  
 2.0    14.0    70.0    30.0    79.0    20.0    -1.0    -1.0    0.0    151.658    151.658    157.73    158.062    161.233    161.233    162.634  
 1.0    14.0    36.0    19.0    33.0    26.0    -1.0    1.0    1.0    166.844    166.844    167.071    167.402    170.573    170.573    171.741  
 2.0    14.0    36.0    19.0    33.0    26.0    1.0    1.0    0.0    166.844    166.844    172.441    172.773    175.945    175.945    176.878  
 1.0    14.0    73.0    45.0    81.0    37.0    1.0    1.0    0.0    182.53    182.53    182.982    183.314    186.485    186.485    187.419  
 2.0    14.0    73.0    45.0    81.0    37.0    -1.0    -1.0    0.0    182.53    182.53    189.818    190.302    193.321    193.321    194.722  
 1.0    14.0    164.0    148.0    166.0    139.0    -1.0    1.0    1.0    197.99    197.99    198.46    198.942    201.963    201.963    203.445  
