 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 191.0    191.0    14.0    3.0    195.0    0.0    1.0    1.0    44.919    4.745    44.919    45.423    49.146    50.3  
 92.0    85.0    14.0    3.0    95.0    1.0    1.0    0.0    56.358    4.732    56.358    56.861    60.571    61.523  
 272.0    272.0    14.0    3.0    275.0    0.0    1.0    1.0    67.952    4.745    67.952    68.456    72.179    73.332  
 328.0    328.0    14.0    3.0    325.0    0.0    0.0    0.0    79.191    4.732    79.191    79.694    83.404    84.275  
 31.0    41.0    14.0    3.0    35.0    1.0    0.0    1.0    89.416    4.747    89.416    89.92    93.645    94.681  
 124.0    132.0    14.0    3.0    125.0    1.0    1.0    0.0    99.626    4.743    99.626    100.129    103.852    105.088  
 227.0    227.0    14.0    3.0    225.0    0.0    0.0    0.0    110.784    4.745    110.784    111.288    115.01    116.029  
 286.0    286.0    14.0    3.0    285.0    0.0    0.0    0.0    122.001    4.736    122.001    122.505    126.218    127.137  
 357.0    357.0    14.0    3.0    355.0    0.0    1.0    1.0    133.38    4.747    133.38    133.885    137.61    138.862  
 178.0    173.0    14.0    3.0    175.0    1.0    0.0    1.0    144.771    4.749    144.771    145.275    149.001    149.803  
 243.0    243.0    14.0    3.0    245.0    0.0    0.0    0.0    155.623    4.738    155.623    156.127    159.843    160.645  
 78.0    70.0    14.0    3.0    75.0    1.0    0.0    1.0    166.714    4.739    166.714    167.216    170.934    171.853  
 169.0    161.0    14.0    3.0    165.0    1.0    1.0    0.0    178.135    4.741    178.135    178.639    182.359    183.378  
 101.0    110.0    14.0    3.0    105.0    1.0    0.0    1.0    188.76    4.742    188.76    189.263    192.983    193.936  
 333.0    333.0    14.0    3.0    335.0    0.0    0.0    0.0    200.015    4.744    200.015    200.519    204.241    205.144  
 47.0    37.0    14.0    3.0    45.0    1.0    1.0    0.0    211.323    4.745    211.323    211.826    215.55    216.685  
 348.0    348.0    14.0    3.0    345.0    0.0    0.0    0.0    222.921    4.739    222.921    223.425    227.141    229.396  
 142.0    136.0    14.0    3.0    145.0    1.0    1.0    0.0    233.381    4.735    233.381    233.885    237.599    239.018  
 218.0    218.0    14.0    3.0    215.0    0.0    1.0    1.0    245.101    4.741    245.101    245.605    249.324    250.376  
 59.0    66.0    14.0    3.0    55.0    1.0    1.0    0.0    255.625    4.741    255.625    256.129    259.848    261.468  
 188.0    188.0    14.0    3.0    185.0    0.0    0.0    0.0    266.9    4.741    266.9    267.403    271.123    272.693  
 61.0    56.0    14.0    3.0    65.0    1.0    1.0    0.0    277.774    4.742    277.774    278.278    281.998    283.133  
 304.0    304.0    14.0    3.0    305.0    0.0    0.0    0.0    287.859    4.747    287.859    288.363    292.088    293.808  
 208.0    208.0    14.0    3.0    205.0    0.0    0.0    0.0    298.3    4.747    298.3    298.804    302.529    303.832  
 238.0    238.0    14.0    3.0    235.0    0.0    1.0    1.0    308.75    4.739    308.75    309.253    312.97    314.323  
 316.0    316.0    14.0    3.0    315.0    0.0    0.0    0.0    319.301    4.745    319.301    319.804    323.528    324.831  
 89.0    79.0    14.0    3.0    85.0    1.0    1.0    0.0    330.49    4.748    330.49    330.993    334.719    336.022  
 118.0    108.0    14.0    3.0    115.0    1.0    1.0    0.0    342.211    4.735    342.211    342.715    346.428    347.964  
 134.0    129.0    14.0    3.0    135.0    1.0    1.0    0.0    353.309    4.746    353.309    353.813    357.536    359.289  
 28.0    38.0    14.0    3.0    25.0    1.0    1.0    0.0    363.417    4.744    363.417    363.921    367.643    368.645  
 18.0    23.0    14.0    3.0    15.0    1.0    1.0    0.0    374.175    4.745    374.175    374.679    378.401    379.737  
 251.0    251.0    14.0    3.0    255.0    0.0    0.0    0.0    384.303    4.74    384.303    384.807    388.525    389.778  
 294.0    294.0    14.0    3.0    295.0    0.0    0.0    0.0    394.277    4.74    394.277    394.78    398.499    399.535  
 7.0    2.0    14.0    3.0    5.0    1.0    0.0    1.0    404.87    4.738    404.87    405.373    409.09    411.009  
 266.0    266.0    14.0    3.0    265.0    0.0    0.0    0.0    415.182    4.733    415.182    415.685    419.397    420.65  
 159.0    167.0    14.0    3.0    155.0    1.0    1.0    0.0    425.288    4.735    425.288    425.792    429.505    430.307  
 41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323    41.323  
