 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 57.0    57.0    14.0    3.0    55.0    0.0    1.0    1.0    44.451    4.745    44.451    44.955    48.679    49.466  
 216.0    209.0    14.0    3.0    215.0    1.0    1.0    0.0    54.549    4.739    54.549    55.052    58.769    59.755  
 157.0    157.0    14.0    3.0    155.0    0.0    0.0    0.0    64.96    4.735    64.96    65.464    69.177    70.098  
 29.0    29.0    14.0    3.0    25.0    0.0    1.0    1.0    76.104    4.732    76.104    76.608    80.318    81.321  
 82.0    82.0    14.0    3.0    85.0    0.0    0.0    0.0    87.008    4.736    87.008    87.512    91.226    92.212  
 332.0    337.0    14.0    3.0    335.0    1.0    1.0    0.0    97.607    4.745    97.607    98.111    101.834    102.719  
 63.0    63.0    14.0    3.0    65.0    0.0    0.0    0.0    108.935    4.742    108.935    109.439    113.159    113.727  
 301.0    306.0    14.0    3.0    305.0    1.0    1.0    0.0    120.019    4.732    120.019    120.523    124.233    125.219  
 313.0    323.0    14.0    3.0    315.0    1.0    1.0    0.0    131.494    4.732    131.494    131.997    135.708    136.727  
 148.0    148.0    14.0    3.0    145.0    0.0    999.0    999.0    142.079    4.737    142.079    142.583    146.299    148.817  
 196.0    205.0    14.0    3.0    195.0    1.0    1.0    0.0    152.19    4.736    152.19    152.693    156.407    157.475  
 161.0    161.0    14.0    3.0    165.0    0.0    1.0    1.0    163.798    4.736    163.798    164.302    168.015    168.884  
 41.0    41.0    14.0    3.0    45.0    0.0    0.0    0.0    173.607    4.734    173.607    174.11    177.822    178.741  
 247.0    241.0    14.0    3.0    245.0    1.0    1.0    0.0    183.643    4.737    183.643    184.147    187.863    188.765  
 93.0    93.0    14.0    3.0    95.0    0.0    1.0    1.0    194.814    4.742    194.814    195.318    199.037    199.939  
 114.0    114.0    14.0    3.0    115.0    0.0    0.0    0.0    204.988    4.742    204.988    205.492    209.211    209.88  
 138.0    138.0    14.0    3.0    135.0    0.0    0.0    0.0    216.102    4.735    216.102    216.606    220.32    221.456  
 288.0    281.0    14.0    3.0    285.0    1.0    1.0    0.0    227.46    4.735    227.46    227.965    231.677    232.647  
 172.0    172.0    14.0    3.0    175.0    0.0    1.0    1.0    238.748    4.739    238.748    239.252    242.969    243.889  
 324.0    318.0    14.0    3.0    325.0    1.0    1.0    0.0    249.63    4.731    249.63    250.134    253.844    254.646  
 2.0    2.0    14.0    3.0    5.0    0.0    0.0    0.0    261.225    4.745    261.225    261.729    265.452    266.404  
 126.0    126.0    14.0    3.0    125.0    0.0    0.0    0.0    272.133    4.746    272.133    272.636    276.361    276.945  
 184.0    178.0    14.0    3.0    185.0    1.0    1.0    0.0    282.311    4.742    282.311    282.815    286.534    287.303  
 349.0    341.0    14.0    3.0    345.0    1.0    1.0    0.0    292.534    4.742    292.534    293.038    296.758    298.077  
 77.0    77.0    14.0    3.0    75.0    0.0    1.0    1.0    303.56    4.74    303.56    304.064    307.783    308.685  
 266.0    256.0    14.0    3.0    265.0    1.0    1.0    0.0    313.753    4.738    313.753    314.257    317.973    318.926  
 279.0    271.0    14.0    3.0    275.0    1.0    1.0    0.0    325.265    4.735    325.265    325.77    329.482    330.301  
 102.0    102.0    14.0    3.0    105.0    0.0    1.0    1.0    336.223    4.736    336.223    336.726    340.44    341.258  
 291.0    296.0    14.0    3.0    295.0    1.0    0.0    1.0    347.481    4.735    347.481    347.986    351.698    352.417  
 239.0    248.0    14.0    3.0    235.0    1.0    1.0    0.0    358.008    4.732    358.008    358.512    362.222    363.108  
 206.0    212.0    14.0    3.0    205.0    1.0    1.0    0.0    368.293    4.738    368.293    368.797    372.513    373.566  
 256.0    263.0    14.0    3.0    255.0    1.0    1.0    0.0    378.144    4.744    378.144    378.648    382.37    383.556  
 12.0    12.0    14.0    3.0    15.0    0.0    0.0    0.0    389.061    4.735    389.061    389.565    393.278    393.964  
 36.0    36.0    14.0    3.0    35.0    0.0    0.0    0.0    399.229    4.741    399.229    399.732    403.452    404.021  
 224.0    229.0    14.0    3.0    225.0    1.0    1.0    0.0    409.032    4.745    409.032    409.535    413.259    413.862  
 352.0    359.0    14.0    3.0    355.0    1.0    1.0    0.0    419.331    4.737    419.331    419.835    423.55    424.419  
 41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406    41.406  
