 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292    41.292  
 1.0    14.0    160.0    135.0    151.0    126.0    1.0    0.0    999.0    43.757    43.757    44.215    44.546    47.718    47.718    0.0  
 2.0    14.0    160.0    135.0    151.0    126.0    1.0    0.0    999.0    43.757    43.757    50.519    50.851    54.022    54.022    0.0  
 1.0    14.0    12.0    69.0    10.0    76.0    -1.0    1.0    1.0    59.512    59.512    59.84    60.308    63.343    63.343    64.26  
 2.0    14.0    12.0    69.0    10.0    76.0    1.0    -1.0    1.0    59.512    59.512    65.814    66.145    69.317    69.317    70.048  
 1.0    14.0    218.0    229.0    217.0    226.0    1.0    1.0    0.0    75.143    75.143    75.604    75.936    79.107    79.107    80.057  
 2.0    14.0    218.0    229.0    217.0    226.0    1.0    -1.0    1.0    75.143    75.143    80.992    81.473    84.494    84.494    85.178  
 1.0    14.0    240.0    191.0    239.0    190.0    1.0    -1.0    1.0    90.733    90.733    90.982    91.464    94.485    94.485    95.635  
 2.0    14.0    240.0    191.0    239.0    190.0    1.0    1.0    0.0    90.733    90.733    96.803    97.134    100.306    100.306    101.24  
 1.0    14.0    344.0    327.0    340.0    331.0    -1.0    -1.0    0.0    106.597    106.597    107.061    107.528    110.563    110.563    113.132  
 2.0    14.0    344.0    327.0    340.0    331.0    1.0    1.0    0.0    106.597    106.597    113.863    114.347    117.366    117.366    118.269  
 1.0    14.0    135.0    164.0    125.0    174.0    1.0    -1.0    1.0    121.988    121.988    122.286    122.77    125.788    125.788    126.489  
 2.0    14.0    135.0    164.0    125.0    174.0    -1.0    1.0    1.0    121.988    121.988    127.907    128.391    131.409    131.409    132.262  
 1.0    14.0    216.0    216.0    218.0    209.0    -1.0    1.0    1.0    137.132    137.132    137.365    137.697    140.868    140.868    141.666  
 2.0    14.0    216.0    216.0    218.0    209.0    1.0    -1.0    1.0    137.132    137.132    143.437    143.768    146.939    146.939    147.471  
 1.0    14.0    64.0    75.0    63.0    78.0    -1.0    1.0    1.0    152.905    152.905    153.208    153.692    156.711    156.711    157.564  
 2.0    14.0    64.0    75.0    63.0    78.0    1.0    -1.0    1.0    152.905    152.905    160.132    160.464    163.635    163.635    164.335  
 1.0    14.0    154.0    134.0    162.0    127.0    -1.0    1.0    1.0    168.848    168.848    169.072    169.405    172.575    172.575    173.275  
 2.0    14.0    154.0    134.0    162.0    127.0    1.0    -1.0    1.0    168.848    168.848    174.909    175.241    178.412    178.412    179.113  
 1.0    14.0    62.0    43.0    61.0    49.0    -1.0    1.0    1.0    184.393    184.393    184.85    185.318    188.353    188.353    189.054  
 2.0    14.0    62.0    43.0    61.0    49.0    1.0    -1.0    1.0    184.393    184.393    190.454    190.786    193.957    193.957    194.488  
 1.0    14.0    79.0    31.0    76.0    40.0    -1.0    -1.0    0.0    199.907    199.907    200.362    200.846    203.864    203.864    204.663  
 2.0    14.0    79.0    31.0    76.0    40.0    1.0    -1.0    1.0    199.907    199.907    206.666    206.997    210.169    210.169    210.869  
 1.0    14.0    42.0    52.0    39.0    53.0    -1.0    -1.0    0.0    215.389    215.389    215.856    216.187    219.359    219.359    219.907  
 2.0    14.0    42.0    52.0    39.0    53.0    1.0    -1.0    1.0    215.389    215.389    222.161    222.493    225.663    225.663    226.363  
 1.0    14.0    287.0    333.0    280.0    331.0    -1.0    -1.0    0.0    231.113    231.113    231.432    231.898    234.934    234.934    235.537  
 2.0    14.0    287.0    333.0    280.0    331.0    -1.0    1.0    1.0    231.113    231.113    236.705    237.036    240.207    240.207    240.691  
 1.0    14.0    340.0    289.0    337.0    295.0    -1.0    -1.0    0.0    247.164    247.164    247.395    247.729    250.899    250.899    251.599  
 2.0    14.0    340.0    289.0    337.0    295.0    1.0    -1.0    1.0    247.164    247.164    252.797    253.282    256.3    256.3    257.203  
 1.0    14.0    124.0    123.0    118.0    126.0    1.0    -1.0    1.0    262.386    262.386    262.858    263.324    266.359    266.359    267.109  
 2.0    14.0    124.0    123.0    118.0    126.0    -1.0    1.0    1.0    262.386    262.386    267.996    268.327    271.497    271.497    271.964  
 1.0    14.0    210.0    227.0    202.0    219.0    1.0    -1.0    1.0    277.925    277.925    278.152    278.484    281.654    281.654    282.187  
 2.0    14.0    210.0    227.0    202.0    219.0    1.0    -1.0    1.0    277.925    277.925    284.923    285.254    288.425    288.425    288.892  
 1.0    14.0    57.0    21.0    62.0    24.0    1.0    -1.0    1.0    293.671    293.671    293.978    294.461    297.481    297.481    298.411  
 2.0    14.0    57.0    21.0    62.0    24.0    1.0    -1.0    1.0    293.671    293.671    299.318    299.816    302.818    302.818    303.512  
 1.0    14.0    335.0    319.0    332.0    324.0    -1.0    -1.0    0.0    309.794    309.795    310.264    310.592    313.783    313.783    314.493  
 2.0    14.0    335.0    319.0    332.0    324.0    1.0    -1.0    1.0    309.794    309.795    315.888    316.212    319.406    319.406    320.105  
 1.0    14.0    77.0    49.0    71.0    40.0    -1.0    1.0    1.0    325.131    325.131    325.452    325.936    328.954    328.954    329.812  
 2.0    14.0    77.0    49.0    71.0    40.0    -1.0    1.0    1.0    325.131    325.131    332.398    332.875    335.935    335.935    336.728  
 1.0    14.0    239.0    218.0    238.0    224.0    1.0    0.0    999.0    341.03    341.03    341.271    341.595    344.79    344.79    0.0  
 2.0    14.0    239.0    218.0    238.0    224.0    -1.0    0.0    999.0    341.03    341.03    347.376    347.836    350.878    350.878    0.0  
